@startuml

class Customer{
    +String name
    +String contactInfo
}

class Broker{
    +String name
    +String registrationNumber
}

class HelpDesk{
    +String address
}

class HeadOffice{
    +String address
}

class InsurancePolicy{
    +String policyType
    +Customer customer
}

class Contract{
    +String contractId
    +Customer customer
    +InsurancePolicy policy
}

class ClaimCase{
    +String caseId
    +Customer customer
    +Contract contract
}

class Estimator{
    +String specialization
}

class CompensationDecision{
    +String decisionId
    +Customer customer
    +ClaimCase claimCase
    +String eligibleCosts
}

Customer "1" -- "0..*" Broker
Broker "1" -- "1" HelpDesk
Broker "1" -- "1" HeadOffice
Customer "1" -- "1" Contract
Contract "1" -- "1" InsurancePolicy
Customer "1" -- "1" ClaimCase
ClaimCase "1" -- "1" Estimator
Estimator "1" -- "1" CompensationDecision
CompensationDecision "1" -- "1" ClaimCase
CompensationDecision "1" -- "1" Estimator
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
Estimator "1" -- "1" CompensationDecision
Estimator "1" -- "1" ClaimCase
