@startuml
class InsuranceCompany{}
class Customer{}
class Broker{}
class InsuranceProduct{}
class Contract{}
class Offer{}
class InsuredEvent{}
class Claim{}
class ClaimCase{}
class Estimator{}
class Report{}
class CompensationDecision{}
class Invoice{}
class Payment{}
class CustomerAccount{}
class Document{}

Customer "1..*" -- "1..1" Broker
Contract "0..*" -- "1..1" Customer
Contract "0..*" -- "1..1" InsuranceProduct
Offer "0..*" -- "1..1" Customer
Offer "0..*" -- "1..1" InsuranceProduct
Contract "1..1" -- "0..1" Offer
Invoice "0..*" -- "1..1" Contract
Invoice "0..*" -- "1..1" Customer
Payment "0..*" -- "1..1" Invoice
Customer "1..1" -- "0..1" CustomerAccount
Payment "0..*" -- "1..1" CustomerAccount
Claim "0..*" -- "1..1" Customer
Claim "0..*" -- "1..1" Contract
Claim "0..*" -- "1..1" InsuredEvent
Claim "1..1" -- "1..*" ClaimCase
Document "0..*" -- "1..1" ClaimCase
Report "0..*" -- "1..1" ClaimCase
Report "0..*" -- "1..1" Estimator
CompensationDecision "0..1" -- "1..1" ClaimCase
CompensationDecision "1..1" -- "1..1" Payment
Broker "0..*" -- "1..1" InsuranceCompany
InsuranceProduct "0..*" -- "1..1" InsuranceCompany
Estimator "0..*" -- "1..1" InsuranceCompany
Contract "0..*" -- "1..1" InsuranceCompany
@enduml
