@startuml

class Airline {}
class Aircraft {}
class Contract {}
class SalesAgreement {}
class SalesPerson {}
class Employee {}
class DemoAirplane {}

Airline "1..*" -- "1" Aircraft
Contract "0..*" -- "1" SalesAgreement
Contract "1" -- "0..*" SalesPerson
Contract "1" -- "0..*" Employee
Contract "1" -- "0..*" DemoAirplane
Aircraft "1" -- "0..*" Contract
SalesAgreement "1" -- "0..*" DemoAirplane
SalesPerson "1" -- "0..*" Contract
Employee "1" -- "0..*" Contract
Employee "1" -- "0..*" SalesPerson
Employee "1" -- "0..*" DemoAirplane
DemoAirplane "1" -- "0..*" SalesAgreement
@enduml
