```plantuml
@startuml
class User{
    String Username, String Email, String Password, String IdCardNumber
}

class Building{
    String Id, String Name, String EnergyClass, String Address, Date YearOfConstruction, String Owner
}

class Entry{
    String Name, String Type, String Value, String Unit
}

class Image{
    String FileName
}

class Page{
    String Content
}

class Portal{
    String Version, String Url
}

User "1..*" -- "0..*" Portal
Portal "1..1" -- "1..1" Building
Building "1..*" -- "1..*" Entry
Building "1..*" -- "1..*" Image
Building "1..*" -- "1..*" Page
Portal "1..1" -- "1..1" User
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" SearchResult
User "1..*" -- "1..*" Comment
User "1..*" -- "1..*" Building
User "1..*" -- "1..*" Entry
User "1..*" -- "1..*" Image
User "1..*" -- "1..*" Page
User "1..*" -- "1..*" Comment
