@startuml

class City{}
class BTMS{}
class Driver{}
class UniqueID_Driver{}
class BusRoute{}
class UniqueNumber_BusRoute{}
class Bus{}
class UniqueLicencePlate_Bus{}
class CityStaff{}
class Shift{}
class MorningShift{}
class AfternoonShift{}
class NightShift{}
class Schedule{}
class Overview{}
class SickLeave_Driver{}
class RepairShop_Bus{}
class Assignment{}

BTMS "1" -- "1" City
BTMS "--*" BusRoute
BusRoute "--1" BTMS
BusRoute "--*" UniqueNumber_BusRoute
UniqueNumber_BusRoute "--1" BusRoute

BTMS "--*" Bus
Bus "--1" BTMS
Bus "--1" UniqueLicencePlate_Bus
UniqueLicencePlate_Bus "--1" Bus

BTMS "--*" CityStaff
CityStaff "--1" BTMS
CityStaff "--*" Shift
Shift "--1" CityStaff

Shift "--1" MorningShift, AfternoonShift, NightShift
MorningShift, AfternoonShift, NightShift "--*" Shift

Shift "--*" Schedule
Schedule "--1" Shift

BTMS "--*" Driver
Driver "--1" BTMS
Driver "--1" UniqueID_Driver
UniqueID_Driver "--1" Driver

Driver "--1" SickLeave_Driver
SickLeave_Driver "--1" Driver

Driver "--1" Assignment
Assignment "--1" Driver

Bus "--1" Assignment
Assignment "--1" Bus

BTMS "--1" Overview
Overview "--1" BTMS

Assignment "--1" RepairShop_Bus
RepairShop_Bus "--1" Assignment

Bus "--1" RepairShop_Bus
RepairShop_Bus "--1" Bus

@enduml
