```plantuml
@startuml

class Game {}
class Player {}
class Deck {}
class Card {}
class ScoringTable {}
class Round {}
class WinningPlayer {}
class PointValue {}
class JackRound {}
class SoloRound {}
class MandatorySoloRound {}
class TrumpSolo {}
class JackSolo {}
class QueenSolo {}
class SoloPlayer {}
class IDAttribute {}

Game "1..4" -- "1..1" Player
Game "1..1" -- "1..1" Deck
Game "1..1" -- "1..1" ScoringTable
Deck "1..*" -- "0..48" Card
ScoringTable "1..*" -- "0..*" Round
Round "1..*" -- "0..*" WinningPlayer
Round "1..*" -- "1..1" PointValue
Round "0..1" -- "1..1" JackRound
Round "0..1" -- "1..1" SoloRound
SoloRound "1..1" -- "1..1" TrumpSolo
SoloRound "1..1" -- "1..1" JackSolo
SoloRound "1..1" -- "1..1" QueenSolo
SoloRound "1..1" -- "1..1" SoloPlayer
MandatorySoloRound "1..1" -- "1..1" SoloRound
Card "1..1" -- "1..1" IDAttribute
Player "1..1" -- "1..1" IDAttribute
Deck "1..1" -- "1..1" IDAttribute
Game "1..1" -- "1..1" IDAttribute
ScoringTable "1..1" -- "1..1" IDAttribute
Round "1..1" -- "1..1" IDAttribute
WinningPlayer "1..1" -- "1..1" IDAttribute
PointValue "1..1" -- "1..1" IDAttribute
JackRound "1..1" -- "1..1" IDAttribute
SoloRound "1..1" -- "1..1" IDAttribute
TrumpSolo "1..1" -- "1..1" IDAttribute
JackSolo "1..1" -- "1..1" IDAttribute
QueenSolo "1..1" -- "1..1" IDAttribute
SoloPlayer "1..1" -- "1..1" IDAttribute

@enduml
```
