@startuml

class Card {
    String Height
    String Suit
    String Id
}
class ScoringTable {
    String RoundNumber
    String WinningPlayers
    String PointValue
}
class Deck {
    String Id
    Integer CardCount
}
class Player {
    String Name
    String Id
}
class Round {
    String Type
    String SoloType
    String SoloPlayer
    String WinningPlayers
    String PointValue
}
class JackRound {}
class SoloRound {}
class TrumpSolo {}
class QueenSolo {}
class Game {
    String Id
    String Players
    String Deck
    String ScoringTable
}

Card "1..*" -- "0..*" Deck
Deck "1" -- "0..*" ScoringTable
Player "1" -- "0..*" Game
Game "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" Round
Round "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" Round
Round "1" -- "0..*" Player
Player "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" Round
Round "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" Round
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
ScoringTable "1" -- "0..*" ScoringTable
