@startuml
class Organizer{}
class Attendee{}
class Event{}
class EventType{}
class Location{}
class Task{}
class Invitation{}

Organizer "1..*" -- "1..1" Event
Organizer "1..1" -- "0..*" EventType
Organizer "1..1" -- "0..*" Location
Organizer "1..1" -- "0..*" Task
Organizer "1..1" -- "1..*" Invitation
Attendee "1..1" -- "1..1" Invitation
Attendee "0..*" -- "0..*" Task
Event "1..1" -- "1..1" EventType
Event "1..1" -- "1..1" Location
Event "1..1" -- "0..*" Task
Event "1..1" -- "1..*" Invitation
@enduml
