@startuml

class Organizer{}
class Attendee{}
class Event{}
class Location{}
class EventType{}
class Task{}
class Checklist{}

Organizer "1..*" -- "1..1" Event
Organizer "1..*" -- "1..*" Attendee
Organizer "1..*" -- "1..*" Task
Organizer "1..*" -- "1..*" Checklist
Event "1..1" -- "1..*" EventType
Event "1..1" -- "1..*" Location
Event "1..*" -- "1..*" Attendee
Event "1..*" -- "1..*" Task
Event "1..*" -- "1..*" Checklist
Organizer "1..*" -- "1..*" Attendee
Attendee "1..1" -- "1..*" Task
Task "1..1" -- "1..*" Attendee

@enduml
