@startuml

class Customer{}
class Product{}
class ProductManufacturer{}
class Country{}
class VATRate{}
class Currency{}
class ConversionRate{}
class Representative{}
class Order{}

Customer "1..*" -- "1..*" Product
Product "1..1" -- "1..*" Country
Product "1..1" -- "1..1" ProductManufacturer
Product "1..1" -- "1..1" VATRate
Product "1..1" -- "1..1" Currency
Product "1..1" -- "1..1" ConversionRate
Representative "1..1" -- "1..1" Country
Representative "1..1" -- "1..*" Order
Order "1..1" -- "1..1" Product
Order "1..1" -- "1..1" Customer

@enduml
