@startuml
class Provider{ String Name, String Location }
class Cruise{ int CruiseNumber, String Name, Date StartDate, Date EndDate }
class Employee{ String Name, String SocialSecurityNumber }
class Guest{ String Name, boolean IsVIP }
class Ship{ String Name, int NumberOfDecks, double Length, int Passengers }
class Booking{ int BookingNumber, Date BookingDate }
class TravelAgency{ String Name, String Address }
class DestinationArea{ String Name, String SeaName }
class Show{ String Title, double Duration }
class Ticket{ int TicketNumber }
Cruise "1..1" -- "0..*" Employee
Cruise "1..1" -- "0..*" Guest
Cruise "1..1" -- "0..*" Booking
Cruise "1..1" -- "1..*" DestinationArea
Cruise "1..1" -- "0..*" Show
Cruise "1..1" -- "0..*" Ticket
Provider "1..1" -- "1..*" Cruise
TravelAgency "1..1" -- "1..*" Booking
Ship "1..1" -- "0..*" Cruise
Guest "0..*" -- "0..*" Ticket
@enduml
