@startuml

class Provider{ String Name, String Location }
class Cruise{ String Number, String Name, Date StartDate, Date EndDate }
class Employee{ String Name, String SocialSecurityNumber }
class Guest{ String Name, Boolean IsVIP }
class Ship{ String Name, Integer NumberOfDecks, Float Length, Integer NumberOfPassengers }
class TravelAgency{ String Name, String Address }
class Booking{ String BookingNumber, Date BookingDate }
class DestinationArea{ String Name, String SeaName }
class Show{ String Title, Duration Duration }
class Ticket{ String TicketID }

Provider "1..1" -- "1..*" Cruise
Cruise "1..*" -- "0..*" Employee
Cruise "1..*" -- "0..*" Guest
Cruise "1..*" -- "1..1" Ship
Cruise "1..1" -- "1..*" Booking
TravelAgency "1..1" -- "0..*" Booking
Cruise "1..1" -- "1..1" DestinationArea
Cruise "1..*" -- "0..*" Show
Cruise "1..*" -- "0..*" Ticket
Guest "0..*" -- "0..*" Cruise
Guest "0..*" -- "0..*" Ticket
Ticket "1..1" -- "1..1" Cruise

@enduml
