@startuml

class Provider{ String Name, String Location }
class Cruise{ String Number, String Name, Date StartDate, Date EndDate }
class Employee{ String Name, String SocialSecurityNumber }
class Guest{ String Name, Boolean IsVIP }
class Ship{ String Name, Integer NumberOfDecks, Float Length, Integer NumberOfPassengers }
class TravelAgency{ String Name, String Address }
class Booking{ String BookingNumber, Date BookingDate }
class DestinationArea{ String Name, String SeaName }
class Show{ String Title, Integer Duration }
class Ticket{ String TicketNumber }

Provider "0..*" -- "1..1" Cruise
Cruise "0..*" -- "0..*" Employee
Cruise "0..*" -- "0..*" Guest
Ship "0..*" -- "0..*" Cruise
TravelAgency "0..*" -- "0..*" Cruise
TravelAgency "0..*" -- "0..*" Booking
Cruise "0..*" -- "0..*" Booking
DestinationArea "0..*" -- "1..1" Cruise
Cruise "0..*" -- "0..*" Show
Cruise "1..1" -- "0..*" Ticket
Guest "0..*" -- "0..*" Ticket

@enduml
