@startuml

class Provider{ String Name, String Location }
class Cruise{ String Number, String Name, Date StartDate, Date EndDate }
class Employee{ String Name, String SocialSecurityNumber }
class Guest{ String Name, Boolean IsVIP }
class Ship{ String Name, Integer Decks, Float Length, Integer Passengers }
class TravelAgency{ String Name, String Address }
class DestinationArea{ String Name, String SeaName }
class Show{ String Title, Integer Duration }
class Booking{ String BookingNumber, Date BookingDate }
class Ticket{ }

Provider "1..1" -- "0..*" Cruise
Cruise "1..1" -- "1..*" Employee
Cruise "1..1" -- "1..*" Guest
Guest "0..*" -- "1..*" Cruise
Cruise "1..1" -- "1..*" Ship
Cruise "1..1" -- "1..1" TravelAgency
Cruise "1..1" -- "1..*" DestinationArea
Cruise "1..1" -- "1..*" Show
Cruise "1..1" -- "1..*" Ticket
Guest "0..*" -- "1..*" Ticket
Ticket "1..1" -- "1..1" Cruise

@enduml
