@startuml

class EBike{}
class Frame{}
class DriveSystem{}
class Motor{}
class Battery{}
class WattHours{}
class Wheels{}
class Date{}

EBike "mul1" -- "mul2" Frame
Frame "mul3" -- "mul4" Wheel
Wheel "mul5" -- "mul6" DriveSystem
DriveSystem "mul7" -- "mul8" Motor
Motor "mul9" -- "mul10" Battery
Battery "mul11" -- "mul12" WattHours
Controller "mul13" -- "mul14" EBike
Controller "mul15" -- "mul16" DriveSystem
Controller "mul17" -- "mul18" Battery
Controller "mul19" -- "mul20" Date
Frame "mul21" -- "mul22" Wheel
DriveSystem "mul23" -- "mul24" Motor
Motor "mul25" -- "mul26" Battery
Battery "mul27" -- "mul28" WattHours
Wheel "mul29" -- "mul30" DriveSystem
Wheel "mul31" -- "mul32" Controller
Wheel "mul33" -- "mul34" Date

@enduml
