@startuml

User "1" -- "1" Account
Account "0..1" PersonalAccount
Account "0..1" BusinessAccount
BusinessAccount "0..1" Company
Account "0..*" Page
Page "1" Account
Account "0..1" Administrator
Account "0..*" FriendRequest
User "1" PersonalInformation
Account "0..1" MultipleAccountsViolation
Account "0..1" Privileges
Page "1" PageName
AdvertisementPage "1" Page
Page "0..1" AdvertisementPage
Page "0..1" NumberOfVisits
Page "0..1" BounceRate
Page "0..1" ClickThroughRate
Page "0..1" ConversionRate
Page "0..1" Transaction
Page "0..1" Banner
Account "0..1" DatabaseSystem
Account "0..1" TermsOfUse

@enduml
