@startuml

class Employee {}
class SocialSecurityNumber {}
class EmployeeType {}
class OscarWinner {}
class FilmSet {}
class Location {}
class Film {}
class Genre {}
class Screenwriter {}
class Screenplay {}
class Novel {}
class Actor {}
class Director {}
class DirectorAssistant {}
class Technician {}
class FieldOfActivity {}

FilmSet "0..*" -- "1..*" Film
Film "1" -- "0..*" Screenplay
Screenplay "1" -- "0..*" Novel
Screenplay "1" -- "0..*" Concept
Screenplay "1" -- "1" Film
Actor "1" -- "1" Screenplay
Director "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Screenplay
Technician "1" -- "1" FieldOfActivity
Screenwriter "1" -- "1" Screenplay
Screenwriter "1" -- "0..*" Film
Actor "1" -- "1" Screenplay
OscarWinner "1" -- "1" Employee
OscarWinner "1" -- "0..*" EmployeeType
Employee "1" -- "1" SocialSecurityNumber
Employee "1" -- "1" EmployeeType
Employee "1" -- "1" OscarWinner
Employee "1" -- "1" FilmSet
FilmSet "1" -- "0..*" Location
Location "1" -- "0..*" Film
Film "1" -- "0..*" Genre
Genre "1" -- "1" Film
Screenplay "1" -- "0..*" Novel
Novel "1" -- "1" Screenwriter
Screenwriter "1" -- "0..*" Screenplay
Screenplay "1" -- "0..*" Concept
Concept "1" -- "1" Screenplay
Director "1" -- "1" DirectorAssistant
DirectorAssistant "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Film
DirectorAssistant "1" -- "1" Screenwriter
DirectorAssistant "1" -- "1" Actor
DirectorAssistant "1" -- "1" Technician
DirectorAssistant "1" -- "1" FieldOfActivity
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" Employee
DirectorAssistant "1" -- "1" SocialSecurityNumber
DirectorAssistant "1" -- "1" EmployeeType
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" FilmSet
DirectorAssistant "1" -- "1" Location
DirectorAssistant "1" -- "1" Genre
DirectorAssistant "1" -- "1" Novel
DirectorAssistant "1" -- "1" Concept
DirectorAssistant "1" -- "1" Screenwriter
DirectorAssistant "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Actor
DirectorAssistant "1" -- "1" Technician
DirectorAssistant "1" -- "1" FieldOfActivity
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" Employee
DirectorAssistant "1" -- "1" SocialSecurityNumber
DirectorAssistant "1" -- "1" EmployeeType
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" FilmSet
DirectorAssistant "1" -- "1" Location
DirectorAssistant "1" -- "1" Genre
DirectorAssistant "1" -- "1" Novel
DirectorAssistant "1" -- "1" Concept
DirectorAssistant "1" -- "1" Screenwriter
DirectorAssistant "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Actor
DirectorAssistant "1" -- "1" Technician
DirectorAssistant "1" -- "1" FieldOfActivity
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" Employee
DirectorAssistant "1" -- "1" SocialSecurityNumber
DirectorAssistant "1" -- "1" EmployeeType
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" FilmSet
DirectorAssistant "1" -- "1" Location
DirectorAssistant "1" -- "1" Genre
DirectorAssistant "1" -- "1" Novel
DirectorAssistant "1" -- "1" Concept
DirectorAssistant "1" -- "1" Screenwriter
DirectorAssistant "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Actor
DirectorAssistant "1" -- "1" Technician
DirectorAssistant "1" -- "1" FieldOfActivity
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" Employee
DirectorAssistant "1" -- "1" SocialSecurityNumber
DirectorAssistant "1" -- "1" EmployeeType
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" FilmSet
DirectorAssistant "1" -- "1" Location
DirectorAssistant "1" -- "1" Genre
DirectorAssistant "1" -- "1" Novel
DirectorAssistant "1" -- "1" Concept
DirectorAssistant "1" -- "1" Screenwriter
DirectorAssistant "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Actor
DirectorAssistant "1" -- "1" Technician
DirectorAssistant "1" -- "1" FieldOfActivity
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" Employee
DirectorAssistant "1" -- "1" SocialSecurityNumber
DirectorAssistant "1" -- "1" EmployeeType
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" FilmSet
DirectorAssistant "1" -- "1" Location
DirectorAssistant "1" -- "1" Genre
DirectorAssistant "1" -- "1" Novel
DirectorAssistant "1" -- "1" Concept
DirectorAssistant "1" -- "1" Screenwriter
DirectorAssistant "1" -- "1" Screenplay
DirectorAssistant "1" -- "1" Actor
DirectorAssistant "1" -- "1" Technician
DirectorAssistant "1" -- "1" FieldOfActivity
DirectorAssistant "1" -- "1" OscarWinner
DirectorAssistant "1" -- "1" Employee
