@startuml

class Person {}
class Trainer {}
class Session {}
class GroupSession {}
class IndividualSession {}
class Room {}
class Center {}

Center "1" -- "0..*" Room
Room "1" -- "1" Center
Room "0..*" -- "1" GroupSession
Room "0..*" -- "1" IndividualSession
Trainer "1" -- "1" Session
Person "1" -- "1" Session

Trainer "0..1" -- "1" Diploma
Person "1" -- "1" FirstName
Person "1" -- "1" LastName
Person "1" -- "1" BirthDate
GroupSession "1" -- "1" Type
Session "1" -- "1" Date
Session "1" -- "1" StartingHour

@enduml
