@startuml

class OilCompany{
    +String name
    +void addGasStation(GasStation)
    +void sendInvoice(Customer, Invoice)
    +void processPayment(Payment)
    +void suspendCustomer(Customer)
    +void unblockCustomer(Customer)
}

class GasStation{
    +String name
    +void addPump(Pump)
    +void refillPump(Pump)
}

class Customer{
    +String name
    +void requestRefuelCard()
    +void payInvoice(Invoice)
}

class RefuelCard{
    +void payTurns()
}

class Invoice{
    +void addTurns(Turn)
    +void calculateDiscounts()
    +void sendToCustomer()
}

class Turn{
    +void payImmediately()
    +void payLater()
}

class Pump{
    +String type
    +void startRefueling(Customer)
    +void stopRefueling(Customer)
    +void refillReservoir()
}

class Reservoir{
    +void addGasoline()
}

class Payment{
    +void process()
}

class Report{
    +void generateDailyReport()
}

OilCompany "1" -- "0..*" GasStation
GasStation "1" -- "1" Pump
Pump "1" -- "1" Reservoir
Pump "1" -- "1" Report
Pump "1" -- "1" Payment
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
Pump "1" -- "1" Invoice
Pump "1" -- "1" Turn
Pump "1" -- "1" Customer
Pump "1" -- "1" RefuelCard
