@startuml

class GasStation{}
class Pump{}
class GasolineType{}
class RefuelTurn{}
class RefuelCard{}
class Invoice{}
class Payment{}
class Customer{}
class Nozzle{}

GasStation "1..*" -- "1..*" Pump
Pump "1..1" -- "1..*" GasolineType
Pump "1..1" -- "1..*" RefuelTurn
Pump "1..1" -- "1..*" Nozzle
RefuelTurn "1..1" -- "1..1" Invoice
Invoice "1..1" -- "1..*" Payment
Customer "1..1" -- "1..*" RefuelCard
RefuelCard "1..1" -- "1..*" Invoice
Invoice "1..1" -- "1..*" RefuelTurn
Payment "1..1" -- "1..1" Invoice
Customer "1..1" -- "1..*" Invoice
Pump "1..1" -- "1..1" GasolineType
Pump "1..1" -- "1..1" Nozzle
Pump "1..1" -- "1..1" RefuelTurn

@enduml
