@startuml

class Department{}
class Room{}
class Bed{}
class Category{}
class Price{}
class Inhabitant{}
class Registration{}
class System{}
class Questions{}
class Data{}
class Abilities{}
class Activities{}
class Person{}
class WaitingList{}
class Date{}
class Proposal{}
class Home{}
class Stay{}
class Nursing{}
class Payment{}
class Amount{}
class Credit{}
class Note{}
class Complaint{}
class Invoice{}
class Items{}
class Process{}
class Death{}
class Place{}
class Type{}

Department -- 0..* Room
Room -- 0..* Bed
Bed -- 1..1 Category
Category -- 1..1 Price
Inhabitant -- 1..* Registration
Registration -- 1..1 System
Registration -- 1..* Questions
Registration -- 1..* Data
Registration -- 1..* Abilities
Registration -- 1..* Activities
Registration -- 1..1 Person
Person -- 1..* WaitingList
WaitingList -- 1..1 Date
WaitingList -- 1..* Proposal
Proposal -- 1..1 System
Proposal -- 1..* Items
Proposal -- 1..* Process
Proposal -- 1..* Death
Proposal -- 1..* Place
Proposal -- 1..* Type
Registration -- 1..* Nursing
Registration -- 1..* Home
Registration -- 1..* Stay
Registration -- 1..* Payment
Registration -- 1..* Amount
Registration -- 1..* Credit
Registration -- 1..* Note
Registration -- 1..* Complaint
Registration -- 1..* Invoice
Registration -- 1..* Payment
Registration -- 1..* Amount
Registration -- 1..* Credit
Registration -- 1..* Note
Registration -- 1..* Complaint
Registration -- 1..* Items
Registration -- 1..* Process
Registration -- 1..* Death
Registration -- 1..* Place
Registration -- 1..* Type
Registration -- 1..1 Nursing
Registration -- 1..1 Home
Registration -- 1..1 Stay
Registration -- 1..1 Payment
Registration -- 1..1 Amount
Registration -- 1..1 Credit
Registration -- 1..1 Note
Registration -- 1..1 Complaint
Registration -- 1..1 Items
Registration -- 1..1 Process
Registration -- 1..1 Death
Registration -- 1..1 Place
Registration -- 1..1 Type
Registration -- 1..1 Nursing
Registration -- 1..1 Home
Registration -- 1..1 Stay
Registration -- 1..1 Payment
Registration -- 1..1 Amount
Registration -- 1..1 Credit
Registration -- 1..1 Note
Registration -- 1..1 Complaint
Registration -- 1..1 Items
Registration -- 1..1 Process
Registration -- 1..1 Death
Registration -- 1..1 Place
Registration -- 1..1 Type

@enduml
