@startuml

class Inhabitant {}
class Bed {}
class Category {}
class Price {}
class Home {}
class Department {}
class Room {}
class RoomBeds {}
class Registration {}
class Assessment {}
class Stay {}
class Invoice {}
class Payment {}
class Claim {}

Inhabitant "1..*" -- "1" Registration
Registration "1" -- "0..*" Assessment
Assessment "1" -- "0..*" Stay
Stay "1" -- "0..*" Invoice
Invoice "1" -- "0..*" Payment
Payment "1" -- "0..*" Claim
Claim "1" -- "0..*" ClaimCase
ClaimCase "1" -- "0..*" CompensationPayment
Stay "1" -- "1" Home
Home "1" -- "0..*" Department
Department "1" -- "1" Room
Room "1" -- "1" RoomBeds
RoomBeds "1" -- "1" Bed
Bed "1" -- "1" Category
Category "1" -- "0..*" Price
Home "1" -- "0..*" Department
Department "1" -- "1" Room
Room "1" -- "1" RoomBeds
RoomBeds "1" -- "1" Bed
Bed "1" -- "1" Category
Category "1" -- "0..*" Price
Price "1" -- "0..*" Invoice
Invoice "1" -- "0..*" Payment
Payment "1" -- "0..*" Claim
Claim "1" -- "0..*" ClaimCase
ClaimCase "1" -- "0..*" CompensationPayment
Stay "1" -- "1" Invoice
Invoice "1" -- "0..*" Payment
Payment "1" -- "0..*" Claim
Claim "1" -- "0..*" ClaimCase
ClaimCase "1" -- "0..*" CompensationPayment
Stay "1" -- "1" Home
Home "1" -- "0..*" Department
Department "1" -- "1" Room
Room "1" -- "1" RoomBeds
RoomBeds "1" -- "1" Bed
Bed "1" -- "1" Category
Category "1" -- "0..*" Price
Price "1" -- "0..*" Invoice
Invoice "1" -- "0..*" Payment
Payment "1" -- "0..*" Claim
Claim "1" -- "0..*" ClaimCase
ClaimCase "1" -- "0..*" CompensationPayment

@enduml
