@startuml

class Patient {}
class Doctor {}
class Diagnosis {}
class Illness {}
class Treatment {}
class AppliedTreatment {}
class HeadDoctor {}
class Consent {}

Patient "1..*" -- "1..*" Doctor
Patient "1" -- "0..*" Diagnosis
Patient "1" -- "0..*" Consent
Patient "1" -- "0..*" AppliedTreatment
Doctor "1" -- "0..*" Diagnosis
Diagnosis "1" -- "0..*" AppliedTreatment
Diagnosis "0..*" -- "1" Illness
Diagnosis "0..*" -- "0..1" HeadDoctor
Illness "1" -- "0..*" Treatment
Treatment "1" -- "0..*" AppliedTreatment

@enduml
