@startuml

class HospitalHouseMD {}
class Patient {}
class Doctor {}
class Treatment {}
class Diagnosis {}
class ConsentForm {}
class PriorityScore {}
class Stage1 {}
class Stage2 {}
class Stage3 {}

HospitalHouseMD "1" -- "0..*" Doctor
HospitalHouseMD "0..*" -- "1" Patient
Patient "0..*" -- "1" Diagnosis
Patient "0..*" -- "1" Treatment
Doctor "0..*" -- "1" Diagnosis
Doctor "0..*" -- "1" Treatment
Diagnosis "0..*" -- "1" Treatment
Treatment "0..*" -- "1" Stage1
Treatment "0..*" -- "1" Stage2
Treatment "0..*" -- "1" Stage3
Treatment "0..*" -- "1" PriorityScore
Stage1 "0..*" -- "1" Stage2
Stage1 "0..*" -- "1" Stage3
Stage2 "0..*" -- "1" Stage3
PriorityScore "0..*" -- "1" Treatment
ConsentForm "0..*" -- "1" Patient

@enduml
