```plantuml
@startuml
class Houses{}
class Basements{}
class EarthBasements{}
class ConcreteBasements{}
class SemiDetachedHouses{}
class Carports{}
class Garages{}
class Companies{}
class JobLogs{}

Houses "1..*" -- "1..*" Basements
Houses "1..*" -- "1..1" EarthBasements
Houses "1..*" -- "1..1" ConcreteBasements
Houses "1..*" -- "1..1" Carports
Houses "1..*" -- "1..1" Garages
Houses "1..*" -- "1..1" Companies
Houses "1..*" -- "*" JobLogs
SemiDetachedHouses "1..1" -- "1..1" Carports
SemiDetachedHouses "1..1" -- "1..1" Garages
SemiDetachedHouses "1..1" -- "1..1" Companies
SemiDetachedHouses "1..1" -- "1..1" JobLogs
Basements "1..1" -- "1..1" EarthBasements
Basements "1..1" -- "1..1" ConcreteBasements
Basements "1..1" -- "1..1" JobLogs
Carports "1..1" -- "1..1" JobLogs
Garages "1..1" -- "1..1" JobLogs
Carports "1..1" -- "1..1" JobLogs
Garages "1..1" -- "1..1" JobLogs

@enduml
```
