@startuml
class Kinepolis{}
class Cinema{}
class Theatre{}
class Movie{}
class Copy{}
class Show{}
class Customer{}
class Reservation{}
class Seat{}
class Ticket{}
class Offer{}
class CreditCard{}

Kinepolis "1..1" -- "0..*" Cinema
Cinema "1..1" -- "0..*" Theatre
Cinema "1..1" -- "0..*" Copy
Movie "1..1" -- "0..*" Copy
Theatre "1..1" -- "0..*" Seat
Theatre "1..1" -- "0..*" Show
Movie "1..1" -- "0..*" Show
Copy "1..1" -- "0..*" Show
Customer "1..1" -- "0..*" Reservation
Show "1..1" -- "0..*" Reservation
Seat "1..1" -- "0..*" Reservation
CreditCard "1..1" -- "0..*" Reservation
Customer "1..1" -- "0..*" CreditCard
Show "1..1" -- "0..*" Ticket
Seat "1..1" -- "0..*" Ticket
Customer "0..*" -- "0..1" Ticket
Reservation "1..1" -- "0..*" Offer
Customer "1..1" -- "0..*" Offer
Show "1..1" -- "0..*" Offer
Seat "1..1" -- "0..*" Offer
Reservation "0..1" -- "0..1" Ticket
@enduml
