@startuml

class Cinema {}
class Theatre {}
class Show {}
class Movie {}
class Reservation {}
class CreditCard {}
class Customer {}
class Website {}
class Ticket {}

Cinema "1..*" -- "1..*" Theatre
Theatre "1" -- "1..*" Show
Show "1" -- "1..*" Movie
Movie "1" -- "1..*" Cinema
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket

Reservation "1" -- "1" Ticket
Ticket "1" -- "1" Customer
Customer "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
CreditCard "1" -- "1" Customer
Customer "1" -- "1" Website
Website "1" -- "1" Show
Show "1" -- "1" Ticket
Ticket "1" -- "1" Show
Show "1" -- "1" Theatre
Theatre "1" -- "1" Cinema
Cinema "1" -- "1" Movie
Movie "1" -- "1" Show
Show "1" -- "1" Reservation
Reservation "1" -- "1" CreditCard
