@startuml

class Doctor {}
class Patient {}
class Test {}
class Requisition {}
class Lab {}
class Appointment {}

Requisition "1..*" -- "1" Doctor
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
Requisition "1" -- "0..*" Test
