@startuml

class Bus {}
class Line {}
class Trajectory {}
class Approval {}
class BusCompany {}
class TrajectoryApproval {}
class TrajectorySuspension {}
class TrajectoryCancellation {}
class LineNumber {}
class SeasonTicket {}
class Trip {}
class TicketMachine {}
class Card {}
class Invoice {}
class Discount {}

BusCompany "1" -- "0..*" Trajectory
Trajectory "1" -- "0..*" TrajectoryApproval
Trajectory "1" -- "0..*" TrajectorySuspension
Trajectory "1" -- "1" TrajectoryCancellation
TrajectoryApproval "1" -- "0..*" Approval
TrajectorySuspension "1" -- "0..*" TrajectoryCancellation
TrajectoryCancellation "1" -- "0..*" TrajectorySuspension
TrajectorySuspension "1" -- "0..*" TrajectoryApproval
TrajectoryApproval "1" -- "0..*" Approval
Approval "1" -- "0..*" TrajectoryApproval
Approval "1" -- "0..*" TrajectorySuspension
Approval "1" -- "0..*" TrajectoryCancellation
Trajectory "1" -- "1" LineNumber
Trajectory "1" -- "1" SeasonTicket
SeasonTicket "1" -- "0..*" Trip
Trip "1" -- "0..*" TicketMachine
Trip "1" -- "0..*" Card
Trip "1" -- "0..*" Invoice
Trip "1" -- "0..*" Discount
TicketMachine "1" -- "0..*" Card
Card "1" -- "0..*" Invoice
Card "1" -- "0..*" Discount
Invoice "1" -- "0..*" Discount

@enduml
