```plantuml
@startuml
class Customer{ String Name, String HomeAddress, String OfficeAddress, String WorkingHours }

class Line{ String Name, String Description, String Category }

class Trajectory{ String Name, String Description, Date StartDate, Date EndDate }

class TrajectoryApproval{ Date ApprovalDate, String Status }

class TrajectoryApprovalHistory{ Date Date, String Status }

class Bus{ String LineNumber, String TrajectoryName }

class SeasonTicket{ String CustomerName, String TrajectoryName, Date Date, String Category, String Price }

class TicketMachine{ String CustomerName, String TrajectoryName, Date Date, String Price }

class PaymentMethod{ String Type, String CustomerName, String TrajectoryName, Date Date, String Price }

class Invoice{ String CustomerName, String TrajectoryName, Date Date, String Price, String Discount }

class MENSO{ String CustomerName, String TrajectoryName, Date Date, String Category, String Price }

class TrajectorySuspension{ Date Date, String Reason }

class TrajectoryCancellation{ Date Date, String Reason }

Trajectory "0..*" -- "1..*" TrajectoryApproval
TrajectoryApproval "1..*" -- "0..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "0..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "0..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Trajectory "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "0..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "0..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "0..*" Trajectory
Trajectory "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
MENSO "1..*" -- "1..*" SeasonTicket
SeasonTicket "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Line
Line "1..*" -- "1..*" TrajectoryApprovalHistory
TrajectoryApprovalHistory "1..*" -- "1..*" TrajectorySuspension
TrajectorySuspension "1..*" -- "1..*" TrajectoryCancellation
TrajectoryCancellation "1..*" -- "1..*" Trajectory
Trajectory "1..*" -- "1..*" Bus
Bus "1..*" -- "1..*" Customer
Customer "1..*" -- "1..*" TicketMachine
TicketMachine "1..*" -- "1..*" PaymentMethod
PaymentMethod "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" MENSO
