@startuml

class Student{}
class Tutor{}
class Subject{}
class TutoringOffer{}
class TutoringRequest{}
class TutoringSession{}
class WeeklyAvailability{}
class Payment{}
class Award{}

Tutor "0..*" -- "0..1" Student
Tutor "1..1" -- "0..*" TutoringOffer
Subject "1..1" -- "0..*" TutoringOffer
Tutor "1..1" -- "0..*" WeeklyAvailability
Student "1..1" -- "0..*" TutoringRequest
TutoringOffer "1..1" -- "0..*" TutoringRequest
Tutor "1..1" -- "0..*" TutoringRequest
TutoringRequest "1..1" -- "0..1" TutoringSession
Student "1..1" -- "0..*" TutoringSession
Tutor "1..1" -- "0..*" TutoringSession
TutoringSession "1..1" -- "0..1" Payment
Student "1..1" -- "0..*" Payment
TutoringSession "0..1" -- "0..*" TutoringSession
Tutor "1..1" -- "0..*" Award
Subject "1..1" -- "0..*" Award

@enduml
