@startuml

class Student {}
class Tutor {}
class TutoringOffer {}
class TutoringRequest {}
class TutoringSession {}
class FollowUpTutoringSession {}
class Payment {}
class Cancellation {}
class Discount {}
class Award {}

Tutor "0..*" -- "1" BankAccount
Tutor "1" -- "0..*" TutoringOffer
Tutor "1" -- "0..*" TutoringSession
Tutor "1" -- "0..*" FollowUpTutoringSession
Tutor "1" -- "0..*" Cancellation
Tutor "1" -- "0..*" Discount

Student "1" -- "0..*" TutoringRequest
Student "1" -- "0..*" Payment
Student "1" -- "0..*" Cancellation

TutoringOffer "1" -- "0..*" Student
TutoringRequest "1" -- "1" TutoringOffer
TutoringRequest "1" -- "1" Student
TutoringRequest "1" -- "1" TutoringSession

TutoringSession "1" -- "1" Tutor
TutoringSession "1" -- "1" Student
TutoringSession "1" -- "0..*" FollowUpTutoringSession

FollowUpTutoringSession "1" -- "1" Tutor
FollowUpTutoringSession "1" -- "1" Student

Payment "1" -- "1" TutoringSession

Cancellation "1" -- "1" TutoringSession
Cancellation "1" -- "1" Student
Cancellation "1" -- "1" Tutor

Discount "1" -- "1" Tutor
Discount "1" -- "1" TutoringSession

Award "1" -- "0..*" Tutor

@enduml
