@startuml

class Student{}
class Tutor{}
class Subject{}
class TutorSubjectExpertise{}
class Availability{}
class TutoringOffer{}
class TutoringRequest{}
class TutoringSession{}
class Payment{}
class Award{}

Student "0..1" -- "1..1" Tutor
Tutor "1..1" -- "0..*" Availability
Tutor "1..1" -- "0..*" TutorSubjectExpertise
Subject "1..1" -- "0..*" TutorSubjectExpertise
TutorSubjectExpertise "1..1" -- "0..*" TutoringOffer
Student "0..*" -- "0..*" TutoringOffer
Student "1..1" -- "0..*" TutoringRequest
Tutor "1..1" -- "0..*" TutoringRequest
TutorSubjectExpertise "1..1" -- "0..*" TutoringRequest
TutoringRequest "0..1" -- "0..1" TutoringSession
Student "1..1" -- "0..*" TutoringSession
Tutor "1..1" -- "0..*" TutoringSession
TutoringSession "1..1" -- "0..*" TutoringSession
TutoringSession "1..1" -- "0..1" Payment
Student "1..1" -- "0..*" Payment
Tutor "1..1" -- "0..*" Award
Subject "1..1" -- "0..*" Award

@enduml
