@startuml

class Customer{}
class Product{}
class Stock{}
class Order{}
class OrderLine{}
class Payment{}
class Delivery{}
class Shipment{}
class Warehouse{}
class Invoice{}

Order "0..*" -- "1" Customer
Order "1" -- "0..*" OrderLine
OrderLine "1" -- "0..*" Product
Order "1" -- "0..*" Payment
Order "1" -- "0..*" Delivery
Order "1" -- "0..*" Shipment
OrderLine "1" -- "0..*" Shipment
Shipment "1" -- "0..*" Delivery
Delivery "1" -- "0..*" Warehouse
Stock "1" -- "0..*" Product
Order "1" -- "0..*" Invoice
Invoice "1" -- "0..*" Order

@enduml
