@startuml
class Car{}
class Cab{}
class Taxi{}
class Service{}
class Ride-hailing{}
class Ride-sharing{}
class Carpooling{}
class Customer{}
class Lead{}
class Passenger{}
class Fee{}
class Request{}
class App{}
class Screen{}
class Gesture{}
class Image{}
class Recognition{}
class System{}
class Time{}
class Location{}
class Duration{}
class Distance{}
class Carbon footprint{}
class Congestion{}
class Plant{}
class Incentive{}
class Damage{}
class Amount{}
class Date{}

Car "0..*" Registration
Cab "0..5" Registration
Taxi "0..1" StudentProfile
Service -- 1..1 Ride-hailing
Service -- 1..1 Ride-sharing
Ride-hailing -- 0..1 System
Ride-hailing -- 0..1 ImageRecognition
Ride-hailing -- 0..1 Recognition
Ride-hailing -- 0..1 Time
Ride-hailing -- 0..1 Location
Ride-hailing -- 0..1 Duration
Ride-hailing -- 0..1 Distance
Ride-hailing -- 0..1 Carbon footprint
Ride-hailing -- 0..1 Congestion
Ride-hailing -- 0..1 Plant
Ride-hailing -- 0..1 Incentive
Ride-hailing -- 0..1 Damage
Ride-hailing -- 0..1 Amount
Ride-hailing -- 0..1 Date
Ride-sharing -- 0..1 System
Ride-sharing -- 0..1 ImageRecognition
Ride-sharing -- 0..1 Recognition
Ride-sharing -- 0..1 Time
Ride-sharing -- 0..1 Location
Ride-sharing -- 0..1 Duration
Ride-sharing -- 0..1 Distance
Ride-sharing -- 0..1 Carbon footprint
Ride-sharing -- 0..1 Congestion
Ride-sharing -- 0..1 Plant
Ride-sharing -- 0..1 Incentive
Ride-sharing -- 0..1 Damage
Ride-sharing -- 0..1 Amount
Ride-sharing -- 0..1 Date
Ride-hailing -- 0..1 Fee
Ride-hailing -- 0..1 Passenger
Ride-hailing -- 0..1 Lead
Ride-hailing -- 0..1 Request
Ride-sharing -- 0..1 Fee
Ride-sharing -- 0..1 Passenger
Ride-sharing -- 0..1 Lead
Ride-sharing -- 0..1 Request
Taxi -- 0..1 System
Taxi -- 0..1 ImageRecognition
Taxi -- 0..1 Recognition
Taxi -- 0..1 Time
Taxi -- 0..1 Location
Taxi -- 0..1 Duration
Taxi -- 0..1 Distance
Taxi -- 0..1 Carbon footprint
Taxi -- 0..1 Congestion
Taxi -- 0..1 Plant
Taxi -- 0..1 Incentive
Taxi -- 0..1 Damage
Taxi -- 0..1 Amount
Taxi -- 0..1 Date
Cab -- 0..1 System
Cab -- 0..1 ImageRecognition
Cab -- 0..1 Recognition
Cab -- 0..1 Time
Cab -- 0..1 Location
Cab -- 0..1 Duration
Cab -- 0..1 Distance
Cab -- 0..1 Carbon footprint
Cab -- 0..1 Congestion
Cab -- 0..1 Plant
Cab -- 0..1 Incentive
Cab -- 0..1 Damage
Cab -- 0..1 Amount
Cab -- 0..1 Date
StudentProfile -- 1..1 Taxi
Customer -- 0..1 Lead
Lead -- 0..1 Request
Request -- 0..1 Fee
App -- 0..1 Screen
Screen -- 0..1 Gesture
Gesture -- 0..1 Image
Image -- 0..1 Recognition
Recognition -- 0..1 System
System -- 0..1 Time
System -- 0..1 Location
System -- 0..1 Duration
System -- 0..1 Distance
System -- 0..1 Carbon footprint
System -- 0..1 Congestion
System -- 0..1 Plant
System -- 0..1 Incentive
System -- 0..1 Damage
System -- 0..1 Amount
System -- 0..1 Date

@enduml
