@startuml

class Customer {}
class Car {}
class Ride {}
class RideHailing {}
class RideSharing {}
class Sober {}
class Accident {}

Customer "0..*" -- "1" Ride
Ride "1" -- "0..*" RideHailing
Ride "1" -- "0..*" RideSharing
Ride "1" -- "1" Car
RideHailing "1" -- "0..*" CompensationPayment
RideSharing "1" -- "0..*" CompensationPayment
RideSharing "1" -- "0..*" Tree
RideSharing "1" -- "1" Car
Car "1" -- "0..*" Accident
Car "1" -- "0..*" CompensationPayment
Car "1" -- "0..*" InsurancePolicy
InsurancePolicy "0..*" -- "1" Car
InsurancePolicy "0..*" -- "1" CompensationPayment
InsurancePolicy "0..*" -- "1" Tree
InsurancePolicy "0..*" -- "1" Car
InsurancePolicy "1" -- "0..*" CompensationPayment
InsurancePolicy "1" -- "0..*" Tree
InsurancePolicy "1" -- "0..*" Car
InsurancePolicy "1" -- "0..*" Accident
InsurancePolicy "1" -- "0..*" Report
InsurancePolicy "1" -- "0..*" Estimator
InsurancePolicy "1" -- "0..*" Payment
InsurancePolicy "1" -- "0..*" Invoice
InsurancePolicy "1" -- "0..*" Airline
InsurancePolicy "1" -- "0..*" BrokerCustomerAssignment
InsurancePolicy "1" -- "0..*" Broker
InsurancePolicy "1" -- "0..*" ClaimCase
InsurancePolicy "1" -- "0..*" Report
InsurancePolicy "1" -- "0..*" Estimator
InsurancePolicy "1" -- "0..*" CompensationPayment
InsurancePolicy "1" -- "0..*" Payment
InsurancePolicy "1" -- "0..*" Invoice
InsurancePolicy "1" -- "0..*" Airline
InsurancePolicy "1" -- "0..*" BrokerCustomerAssignment
InsurancePolicy "1" -- "0..*" Broker
InsurancePolicy "1" -- "0..*" ClaimCase
InsurancePolicy "1" -- "0..*" Report
InsurancePolicy "1" -- "0..*" Estimator
InsurancePolicy "1" -- "0..*" CompensationPayment
InsurancePolicy "1" -- "0..*" Payment
InsurancePolicy "1" -- "0..*" Invoice
InsurancePolicy "1" -- "0..*" Airline
InsurancePolicy "1" -- "0..*" BrokerCustomerAssignment
InsurancePolicy "1" -- "0..*" Broker
InsurancePolicy "1" -- "0..*" ClaimCase
InsurancePolicy "1" -- "0..*" Report
InsurancePolicy "1" -- "0..*" Estimator
InsurancePolicy "1" -- "0..*" CompensationPayment
InsurancePolicy "1" -- "0..*" Payment
InsurancePolicy "1" -- "0..*" Invoice
InsurancePolicy "1" -- "0..*" Airline
InsurancePolicy "1" -- "0..*" BrokerCustomerAssignment
InsurancePolicy "1" -- "0..*" Broker
InsurancePolicy "1" -- "0..*" ClaimCase
InsurancePolicy "1" -- "0..*" Report
InsurancePolicy "1" -- "0..*" Estimator
InsurancePolicy "1" -- "0..*" CompensationPayment
InsurancePolicy "1" -- "0..*" Payment
InsurancePolicy "1" -- "0..*" Invoice
InsurancePolicy "1" -- "0..*" Airline
InsurancePolicy "1" -- "0..*" BrokerCustomerAssignment
