@startuml

class TeamSportsScoutingSystem{}
class Employee{}
class HeadCoach{}
class Director{}
class Scout{}
class HeadScout{}
class Player{}
class PlayerProfile{}
class TargetPosition{}
class PlayerAttribute{}
class LongList{}
class ShortList{}
class ScoutingAssignment{}
class ScoutingReport{}
class Recommendation{}
class Offer{}

TeamSportsScoutingSystem "1..1" -- "1..*" Employee
Employee "0..1" -- "0..1" HeadCoach
Employee "0..1" -- "0..1" Director
Employee "0..*" -- "0..*" Scout
Scout "0..1" -- "0..1" HeadScout

HeadCoach "1..*" -- "0..*" PlayerProfile
PlayerProfile "1..*" -- "0..*" TargetPosition
PlayerProfile "0..*" -- "0..*" PlayerAttribute

LongList "1..1" -- "0..*" Player
Scout "0..*" -- "0..1" LongList

HeadScout "1..1" -- "0..*" ScoutingAssignment
Scout "0..*" -- "0..*" ScoutingAssignment
ScoutingAssignment "1..1" -- "1..1" Player

ScoutingAssignment "1..1" -- "0..*" ScoutingReport
ScoutingReport "1..1" -- "1..1" Scout
ScoutingReport "1..1" -- "1..1" Player
ScoutingReport "1..1" -- "1..1" Recommendation

HeadCoach "1..1" -- "0..*" ShortList
HeadScout "1..1" -- "0..*" ShortList
ShortList "1..1" -- "0..*" Player
ShortList "0..*" -- "0..*" ScoutingAssignment

HeadScout "0..*" -- "0..1" Recommendation
Director "1..1" -- "0..*" Offer
Offer "1..1" -- "1..1" Player

@enduml
