```plantuml
@startuml

class GameDesigner {}
class BoardGame {}
class Player {}
class PlayingPiece {}
class GameBoard {}
class Tile {}
class ConnectionPiece {}
class ActionCard {}
class Die {}
class ActionTile {}
class HiddenTile {}
class SpareConnectionPiece {}

GameDesigner "1" -- "1..*" BoardGame
BoardGame "1" -- "2..4" Player
BoardGame "1" -- "2..4" PlayingPiece
BoardGame "1" -- "1" GameBoard
BoardGame "1" -- "1..*" Tile
BoardGame "1" -- "0..*" ConnectionPiece
BoardGame "1" -- "0..*" ActionTile
BoardGame "1" -- "1" HiddenTile
Player "1" -- "1" PlayingPiece
Player "1" -- "1" Die
Player "1" -- "1" GameBoard
Player "1" -- "0..*" Tile
PlayingPiece "1" -- "1" GameBoard
PlayingPiece "1" -- "0..*" Tile
GameBoard "1" -- "1..*" Tile
GameBoard "1" -- "0..*" ConnectionPiece
GameBoard "1" -- "0..*" ActionTile
GameBoard "1" -- "1" HiddenTile
Tile "1" -- "0..4" ConnectionPiece
Tile "1" -- "0..1" ActionTile
Tile "1" -- "0..1" HiddenTile
ActionTile "1" -- "1" ActionCard

@enduml
```
