@startuml

class GameDesigner{}
class GameBoard{}
class Tile{}
class ConnectionPiece{}
class ActionCard{}
class Player{}
class Die{}
class ActionTile{}
class VisitedTile{}

GameDesigner "1" -- "1" GameBoard
GameBoard "1" -- "1" Tile
GameBoard "1" -- "1" ConnectionPiece
GameBoard "1" -- "1" ActionCard
GameBoard "1" -- "1" ActionTile
GameBoard "1" -- "1" Player
GameBoard "1" -- "1" Die

Tile "1" -- "1" ConnectionPiece
Tile "1" -- "1" ActionTile

Player "1" -- "1" Die
Player "1" -- "1" Tile

Die "1" -- "1" Player

ActionCard "1" -- "1" ActionTile

@enduml
