@startuml

class Driver {}
class Employee {}
class Planner {}
class Customer {}
class Vehicle {}
class RepairShop {}
class EmployeeRepair {}
class Order {}
class Repair {}
class CompensationPayment {}

Driver "1..*" -- "1..*" Employee
Employee "1..*" -- "1..*" Planner
Planner "1..*" -- "1..*" Order
Order "1" -- "0..*" Customer
Order "1" -- "1..*" Vehicle
Order "1" -- "1..*" RepairShop
Order "1" -- "1..*" EmployeeRepair
Order "1" -- "1..*" CompensationPayment
Customer "1" -- "1..*" Vehicle
Vehicle "1" -- "1..*" RepairShop
Vehicle "1" -- "1..*" EmployeeRepair
RepairShop "1" -- "1..*" EmployeeRepair
EmployeeRepair "1" -- "1..*" Repair
Repair "1" -- "1..*" CompensationPayment
EmployeeRepair "1" -- "1..*" CompensationPayment
RepairShop "1" -- "1..*" CompensationPayment
Customer "1" -- "1..*" CompensationPayment
Vehicle "1" -- "1..*" CompensationPayment
Order "1" -- "1..*" CompensationPayment
Planner "1" -- "1..*" CompensationPayment
Employee "1" -- "1..*" CompensationPayment
Driver "1" -- "1..*" CompensationPayment

@enduml
