@startuml
class Hospital
class Doctor
class Patient
class Examination
class ExaminationType {
  name:String
}
class Permission
class Problem
class ProblemType {
  name:String
}
class Treatment
class TreatmentPlan
class Diagnosis
class MedicalAction {
  description:String
}

Hospital "1..*" -- "1..1" Doctor
Hospital "0..*" -- "1..1" Examination
Hospital "0..*" -- "0..*" Patient
Hospital "1..1" -- "0..*" Permission
Hospital "0..*" -- "1..1" Treatment
Doctor "0..*" -- "1..1" Diagnosis
Doctor "0..*" -- "1..1" Examination
Doctor "0..*" -- "0..*" Patient
Doctor "0..*" -- "1..1" Treatment
Problem "1..1" -- "1..1" Diagnosis
Problem "1..1" -- "1..1" Treatment
ProblemType "0..*" -- "1..1" Problem
ProblemType "1..1" -- "1..1" TreatmentPlan
Patient "0..*" -- "1..1" Diagnosis
Patient "0..*" -- "1..1" Examination
Patient "0..*" -- "1..1" Problem
Patient "0..*" -- "1..1" Treatment
ExaminationType "1..1" -- "0..*" Permission
ExaminationType "0..*" -- "1..1" Examination
Treatment "0..*" -- "0..1" Examination
Treatment "0..*" -- "0..1" MedicalAction
TreatmentPlan "0..*" -- "0..*" ExaminationType
TreatmentPlan "0..*" -- "1..1" Treatment
@enduml
