@startuml

class Patient {}
class Doctor {}
class Hospital {}
class ExaminationType {}
class TreatmentPlan {}
class ActualTreatment {}

Hospital "0..*" -- "1..*" ExaminationType
Hospital "1" -- "0..*" TreatmentPlan
Doctor "1" -- "0..*" Patient
Doctor "1" -- "0..*" Hospital
Patient "1" -- "1" Diagnosis
Diagnosis "1" -- "1" TreatmentPlan
ActualTreatment "1" -- "1" Patient
ActualTreatment "1" -- "1" TreatmentPlan
ExaminationType "1" -- "0..*" ActualTreatment
ExaminationType "1" -- "0..*" ActualTreatment

@enduml
