@startuml

class Hospital{}
class Doctor{}
class Patient{}
class Examination{}
class ExaminationType{}
class ProblemType{}
class TreatmentPlan{}
class MedicalAction{}
class Diagnosis{}
class ActualTreatment{}

Hospital "1" -- "1..*" Doctor
Doctor "1" -- "0..*" Diagnosis
Patient "1" -- "0..*" Diagnosis
ProblemType "1" -- "0..*" Diagnosis
Patient "1" -- "0..*" Examination
ExaminationType "1" -- "0..*" Examination
Hospital "0..*" -- "0..*" ExaminationType
ProblemType "1" -- "1" TreatmentPlan
TreatmentPlan "0..*" -- "0..*" ExaminationType
Diagnosis "1" -- "1" ActualTreatment
TreatmentPlan "1" -- "0..*" ActualTreatment
ActualTreatment "1" -- "0..*" Examination
ActualTreatment "1" -- "0..*" MedicalAction
Hospital "1" -- "0..*" Examination

@enduml
