@startuml

class Hospital{ String Name, String Address }
class Doctor{ String Name, String Specialization }
class Patient{ String Name, String Problem }
class Examination{ Date Date, String Result }
class TreatmentPlan{ String Problem, String AdvisedExaminations }
class ActualTreatment{ String Problem, String Examinations, String MedicalActions }
class ExaminationType{ String Type }

Hospital "1..*" -- "0..*" Doctor
Hospital "1..*" -- "0..*" Patient
Hospital "1..*" -- "0..*" Examination
Hospital "1..*" -- "0..*" TreatmentPlan
Hospital "1..*" -- "0..*" ActualTreatment
Hospital "1..*" -- "0..*" ExaminationType

Doctor "1..*" -- "0..*" Patient
Doctor "1..*" -- "0..*" Examination
Doctor "1..*" -- "0..*" TreatmentPlan
Doctor "1..*" -- "0..*" ActualTreatment

Patient "1..*" -- "0..*" Examination
Patient "1..*" -- "0..*" TreatmentPlan
Patient "1..*" -- "0..*" ActualTreatment

Examination "1..1" -- "1..*" ExaminationType
TreatmentPlan "1..*" -- "0..*" ExaminationType
ActualTreatment "1..*" -- "0..*" ExaminationType

@enduml
