@startuml

class ExaminationType {
    String Name
    String Description
    String PermissionRequired
}
class Hospital {
    String Name
    String Address
}
class Doctor {
    String Name
    String Specialty
}
class Patient {
    String Name
    String Problem
}
class TreatmentPlan {
    String Problem
    String[] ExaminationTypes
}
class Treatment {
    String ActualExaminationTypes
    String ActualMedicalActions
}
class Examination {
    String Type
    String Date
    String Location
}
class ExaminationRequest {
    String Type
    String Date
    String Location
}
class ExaminationRequestApproval {
    String Type
    String ApprovalStatus
}
class HospitalPermission {
    String Hospital
    String ExaminationType
    String PermissionStatus
}
class DoctorAffiliation {
    String Doctor
    String Hospital
}
class Examination {
    "1..1" -- "0..*" ExaminationRequest
    "1..1" -- "0..*" ExaminationRequestApproval
    "1..1" -- "0..*" Examination
    "0..*" -- "0..*" DoctorAffiliation
    "0..*" -- "0..*" HospitalPermission
    "0..*" -- "0..*" TreatmentPlan
    "0..*" -- "0..*" Treatment
    "0..*" -- "0..*" ExaminationRequestApproval
    "0..*" -- "0..*" ExaminationRequest
    "0..*" -- "0..*" Examination
    "0..*" -- "0..*" DoctorAffiliation
    "0..*" -- "0..*" HospitalPermission
    "0..*" -- "0..*" TreatmentPlan
    "0..*" -- "0..*" Treatment
    "0..*" -- "0..*" ExaminationRequestApproval
    "0..*" -- "0..*" ExaminationRequest
    "0..*" -- "0..*" Examination
    "0..*" -- "0..*" DoctorAffiliation
    "0..*" -- "0..*" HospitalPermission
    "0..*" -- "0..*" TreatmentPlan
    "0..*" -- "0..*" Treatment
    "0..*" -- "0..*" ExaminationRequestApproval
    "0..*" -- "0..*" ExaminationRequest
    "0..*" -- "0..*" Examination
    "0..*" -- "0..*" DoctorAffiliation
    "0..*" -- "0..*" HospitalPermission
    "0..*" -- "0..*" TreatmentPlan
    "0..*" -- "0..*" Treatment
    "0..*" -- "0..*" ExaminationRequestApproval
    "0..*" -- "0..*" ExaminationRequest
    "0..*" -- "0..*" Examination
    "0..*" -- "0..*" DoctorAffiliation
    "0..*" -- "0..*" HospitalPermission
