@startuml

class Customer {}
class InsurancePolicy {}
class Contract {}
class Invoice {}
class BrokerCustomerAssignment {}
class Broker {}
class ClaimCase {}
class Report {}
class Estimator {}
class CompensationPayment {}

class HomeTec {}
class SensorController {}
class Apartment {}
class Room {}
class Sensor {}
class EMonitor {}

Sensor "1..*" -- "1..*" SensorController
Sensor "1" -- "1" Room
Room "1" -- "1..*" Apartment
Apartment "1" -- "1" HomeTec
Apartment "1" -- "1" EMonitor
Room "1" -- "1" Room
Sensor "1" -- "1" Sensor
Sensor "1" -- "1" EMonitor
Sensor "1" -- "1" CompensationPayment
Sensor "1" -- "1" Report
Sensor "1" -- "1" ClaimCase
Sensor "1" -- "1" Contract
Sensor "1" -- "1" Invoice
Sensor "1" -- "1" InsurancePolicy
Sensor "1" -- "1" BrokerCustomerAssignment
Sensor "1" -- "1" Estimator

Apartment "1" -- "1" EMonitor
Apartment "1" -- "1" CompensationPayment
Apartment "1" -- "1" Report
Apartment "1" -- "1" ClaimCase
Apartment "1" -- "1" Contract
Apartment "1" -- "1" Invoice
Apartment "1" -- "1" InsurancePolicy
Apartment "1" -- "1" BrokerCustomerAssignment
Apartment "1" -- "1" Estimator

Room "1" -- "1" CompensationPayment
Room "1" -- "1" Report
Room "1" -- "1" ClaimCase
Room "1" -- "1" Contract
Room "1" -- "1" Invoice
Room "1" -- "1" InsurancePolicy
Room "1" -- "1" BrokerCustomerAssignment
Room "1" -- "1" Estimator

Sensor "1" -- "1" CompensationPayment
Sensor "1" -- "1" Report
Sensor "1" -- "1" ClaimCase
Sensor "1" -- "1" Contract
Sensor "1" -- "1" Invoice
Sensor "1" -- "1" InsurancePolicy
Sensor "1" -- "1" BrokerCustomerAssignment
Sensor "1" -- "1" Estimator

@enduml
