sub_folder_name,model_name,precision_class,recall_class,f1_class,n_classes,precision_rel,recall_rel,f1_rel,score_rel,max_score,n_rel
CelO,few-gpt-5-nano,0.5,0.4,0.44,10,0.25,0.17,0.2,7,60,12
CelO,gpt-5,0.44,0.4,0.42,10,0.15,0.17,0.16,6,60,12
CelO,few2-o3-mini,1.0,0.6,0.75,10,0.67,0.33,0.44,10,60,12
CelO,cot-gpt-3.5-turbo,0.83,0.5,0.62,10,0.4,0.17,0.24,6,60,12
CelO,cot-gpt-4-turbo,1.0,0.5,0.67,10,0.43,0.25,0.32,10,60,12
CelO,gpt-4-turbo,1.0,0.5,0.67,10,0.5,0.25,0.33,8,60,12
CelO,few-gpt-4o,0.5,0.5,0.5,10,0.27,0.25,0.26,8,60,12
CelO,gpt-4o,0.5,0.4,0.44,10,0.33,0.25,0.29,8,60,12
CelO,cot2-gpt-4o-mini,0.45,0.5,0.48,10,0.3,0.25,0.27,10,60,12
CelO,few-gpt-4o-mini,0.67,0.4,0.5,10,0.33,0.17,0.22,5,60,12
CelO,few2-gpt-4o-mini,0.67,0.4,0.5,10,0.25,0.17,0.2,5,60,12
CelO,few-o3-mini,1.0,0.6,0.75,10,0.57,0.33,0.42,6,60,12
CelO,claude-sonnet-4-5-20250929,0.71,0.5,0.59,10,0.22,0.17,0.19,7,60,12
CelO,cot-gpt-4o,0.8,0.4,0.53,10,0.43,0.25,0.32,9,60,12
CelO,few2-gpt-5-nano,0.5,0.5,0.5,10,0.27,0.25,0.26,4,60,12
CelO,few2-gpt-4o,1.0,0.5,0.67,10,0.5,0.25,0.33,8,60,12
CelO,gpt-3.5-turbo,0.83,0.5,0.62,10,0.38,0.25,0.3,8,60,12
CelO,few2-gpt-3.5-turbo,0.8,0.4,0.53,10,0.5,0.25,0.33,9,60,12
CelO,gpt-4o-mini,1.0,0.5,0.67,10,0.5,0.25,0.33,9,60,12
CelO,cot2-gpt-4o,0.5,0.4,0.44,10,0.38,0.25,0.3,9,60,12
CelO,cot2-gpt-5-nano,0.31,0.5,0.38,10,0.13,0.17,0.15,3,60,12
CelO,claude-3-7-sonnet-20250219,0.88,0.7,0.78,10,0.4,0.33,0.36,14,60,12
CelO,o3-mini,1.0,0.5,0.67,10,0.6,0.25,0.35,7,60,12
CelO,cot-gpt-4o-mini,1.0,0.5,0.67,10,0.4,0.17,0.24,7,60,12
CelO,cot-o3-mini,1.0,0.5,0.67,10,0.4,0.17,0.24,4,60,12
CelO,few-gpt-3.5-turbo,1.0,0.5,0.67,10,0.6,0.25,0.35,8,60,12
CelO,cot2-o3-mini,0.56,0.5,0.53,10,0.33,0.25,0.29,5,60,12
CelO,cot-gpt-5-nano,0.75,0.6,0.67,10,0.44,0.33,0.38,8,60,12
CelO,gpt-5-nano,0.83,0.5,0.62,10,0.6,0.25,0.35,11,60,12
CelO,cot2-gpt-4-turbo,0.56,0.5,0.53,10,0.3,0.25,0.27,10,60,12
CelO,cot2-gpt-3.5-turbo,0.71,0.5,0.59,10,0.43,0.25,0.32,10,60,12
CelO,few-gpt-4-turbo,0.67,0.4,0.5,10,0.33,0.17,0.22,7,60,12
CelO,few2-gpt-4-turbo,0.83,0.5,0.62,10,0.62,0.42,0.5,12,60,12
TeamSportsScoutingSystem,few-gpt-5-nano,0.67,0.73,0.7,11,0.44,0.24,0.31,5,85,17
TeamSportsScoutingSystem,gpt-5,0.54,0.64,0.58,11,0.21,0.24,0.22,12,85,17
TeamSportsScoutingSystem,few2-o3-mini,0.46,0.55,0.5,11,0.14,0.12,0.13,4,85,17
TeamSportsScoutingSystem,cot-gpt-3.5-turbo,0.38,0.45,0.42,11,0.08,0.06,0.07,1,85,17
TeamSportsScoutingSystem,cot-gpt-4-turbo,0.5,0.55,0.52,11,0.15,0.18,0.16,3,85,17
TeamSportsScoutingSystem,gpt-4-turbo,0.5,0.55,0.52,11,0.2,0.12,0.15,2,85,17
TeamSportsScoutingSystem,few-gpt-4o,0.6,0.55,0.57,11,0.3,0.18,0.22,5,85,17
TeamSportsScoutingSystem,gpt-4o,0.35,0.64,0.45,11,0.14,0.18,0.15,3,85,17
