sub_folder_name,n_classes,n_attributes,n_associations,n_inheritance,total_size
AirTravel,13,24,14,3,51
AlphaInsurance,10,13,11,0,34
BankAccount,6,5,5,2,16
Boeing,6,10,3,0,19
BuildingManagement,12,19,8,3,39
BusTransportationManagementSystem,6,8,4,0,18
CardGameApp,10,10,13,3,33
CelO,10,15,14,2,39
ClothingCompany,10,25,6,0,41
Cruise,9,22,9,0,40
DestroyBlockGame,19,37,12,0,68
EUScienceConnect,10,13,8,2,31
Ebike,13,13,6,2,32
Facepage,10,13,10,4,33
FilmSet,12,19,11,4,42
FitnessCompanyConan,8,10,9,4,27
GameArea,6,4,7,3,17
GasStation_KUL,7,12,7,0,26
GasStation_TUW,5,10,6,0,21
HelpingHands,12,16,7,5,35
HomeForTheElderly,10,13,12,0,35
HospitalHouseMD,6,3,6,0,15
HotelBookingManagementSystem,16,23,21,5,60
House,11,15,11,5,37
Kinepolis,11,18,15,0,44
LabTracker,12,29,13,2,54
Louvre,8,7,6,0,21
Menso,11,10,11,0,32
Musicmatic,9,13,11,4,33
OnlineTutoringSystem,12,15,15,4,42
PizzaDeliveryWithEntertainment,9,24,13,4,46
ProjectManagement,7,0,10,0,17
School,9,9,11,4,29
SellingGoods,8,9,9,0,26
Sightseeing,7,8,8,2,23
SmartHomeAutomationSystem,22,14,19,7,55
Sober,10,20,9,4,39
StudentAppointment,6,0,8,0,14
TeamSportsScoutingSystem,11,11,17,4,39
TileOGame,20,17,17,8,54
TransportCompany,11,24,14,4,49
TreatmentPlans,14,2,19,0,35
TruckLogistics,9,9,8,3,26
University,9,15,10,3,34
eHome2020,8,15,10,2,33
