base_model,technique,skipped,total,pct_skipped
Qwen-Qwen2.5-3B-Instruct,CoT,45,45,100.0
Qwen-Qwen3.5-4B,CoT,45,45,100.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,CoT,45,45,100.0
google-gemma-3-4b-it,CoT,1,45,2.2
meta-llama-Llama-3.2-3B-Instruct,CoT,21,45,46.7
microsoft-Phi-4-mini-instruct,CoT,7,45,15.6
mistralai-Mistral-7B-Instruct-v0.3,CoT,20,45,44.4
tiiuae-Falcon-H1-7B-Base,CoT,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,CoT,45,45,100.0
Qwen-Qwen2.5-3B-Instruct,CoT-multi,1,45,2.2
Qwen-Qwen3.5-4B,CoT-multi,45,45,100.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,CoT-multi,45,45,100.0
meta-llama-Llama-3.2-3B-Instruct,CoT-multi,11,45,24.4
microsoft-Phi-4-mini-instruct,CoT-multi,25,45,55.6
mistralai-Mistral-7B-Instruct-v0.3,CoT-multi,42,45,93.3
tiiuae-Falcon-H1-7B-Base,CoT-multi,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,CoT-multi,45,45,100.0
Qwen-Qwen3.5-4B,one-shot,2,44,4.5
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,one-shot,5,45,11.1
tiiuae-Falcon-H1-7B-Base,one-shot,45,45,100.0
Qwen-Qwen3.5-4B,two-shots,2,44,4.5
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,two-shots,1,45,2.2
gpt-3.5-turbo,two-shots,1,45,2.2
meta-llama-Llama-3.2-3B-Instruct,two-shots,1,45,2.2
tiiuae-Falcon-H1-7B-Base,two-shots,45,45,100.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,zero-shot,3,45,6.7
tiiuae-Falcon-H1-7B-Base,zero-shot,45,45,100.0
