base_model_name,result_type,sum_weighted_f1_class,sum_weighted_f1_rel,total_weight_class,total_weight_rel,sum_weighted_norm_score,total_weight_norm,score_relative_avg,weighted_f1_class_avg,weighted_f1_rel_avg,normalized_score_avg,f1_aggregated
Falcon3-10B-Instruct-6bit,CoT,92.53999999999999,59.92,460,473,127.0,785,2.8222222222222224,0.20117391304347823,0.12668076109936574,0.16178343949044585,0.16321270454442993
Falcon3-10B-Instruct-6bit,CoT-multi,161.79,97.16,460,473,248.0,1855,5.511111111111111,0.3517173913043478,0.2054122621564482,0.13369272237196766,0.23027412527758787
Falcon3-10B-Instruct-6bit,one-shot,275.49,163.27,460,473,299.0,2320,6.644444444444445,0.5988913043478261,0.34517970401691334,0.12887931034482758,0.3576501062365223
Falcon3-10B-Instruct-6bit,two-shots,292.71,173.13,460,473,356.0,2320,7.911111111111111,0.6363260869565217,0.3660253699788583,0.15344827586206897,0.3852665775991497
Falcon3-10B-Instruct-6bit,zero-shot,199.75,102.14,460,473,251.0,1945,5.5777777777777775,0.4342391304347826,0.21594080338266386,0.12904884318766066,0.25974292566836904
Llama-3.2-3B-Instruct-4bit,CoT,153.98,82.39,460,473,178.0,1425,3.9555555555555557,0.3347391304347826,0.17418604651162792,0.12491228070175439,0.2112791525493883
Llama-3.2-3B-Instruct-4bit,CoT-multi,76.01,29.44,460,473,72.0,790,1.6,0.1652391304347826,0.06224101479915434,0.09113924050632911,0.10620646191342202
Llama-3.2-3B-Instruct-4bit,one-shot,220.6,96.03,460,473,251.0,2130,5.5777777777777775,0.4795652173913043,0.2030232558139535,0.11784037558685447,0.26680961626403743
Llama-3.2-3B-Instruct-4bit,two-shots,248.34,124.56,460,473,349.0,2365,7.7555555555555555,0.5398695652173913,0.2633403805496829,0.14756871035940802,0.31692621870882737
Llama-3.2-3B-Instruct-4bit,zero-shot,211.59,122.27,460,473,452.0,1995,10.044444444444444,0.4599782608695652,0.25849894291754755,0.22656641604010025,0.3150145399424043
Mistral-7B-Instruct-v0.3-4bit,CoT,90.17999999999999,45.78,460,473,109.0,860,2.422222222222222,0.19604347826086954,0.09678646934460888,0.12674418604651164,0.13985804455066334
Mistral-7B-Instruct-v0.3-4bit,CoT-multi,44.129999999999995,17.63,460,473,42.0,545,0.9333333333333333,0.09593478260869565,0.03727272727272727,0.07706422018348624,0.07009057668830306
Mistral-7B-Instruct-v0.3-4bit,one-shot,217.54,124.09,460,473,297.0,2065,6.6,0.47291304347826085,0.2623467230443975,0.14382566585956416,0.29302847746074084
Mistral-7B-Instruct-v0.3-4bit,two-shots,228.17,131.7,460,473,295.0,2025,6.555555555555555,0.49602173913043474,0.27843551797040167,0.145679012345679,0.30671208981550513
Mistral-7B-Instruct-v0.3-4bit,zero-shot,109.89,53.48,460,473,111.0,1020,2.466666666666667,0.2388913043478261,0.11306553911205074,0.10882352941176471,0.15359345762388052
Qwen3-4B-Instruct-2507-4bit-DWQ-2510,CoT,268.68,132.58,460,473,254.0,2365,5.644444444444445,0.5840869565217391,0.2802959830866808,0.10739957716701903,0.323927505591813
Qwen3-4B-Instruct-2507-4bit-DWQ-2510,CoT-multi,65.05,31.64,460,473,71.0,630,1.5777777777777777,0.14141304347826086,0.06689217758985201,0.1126984126984127,0.10700121125550853
Qwen3-4B-Instruct-2507-4bit-DWQ-2510,one-shot,237.74,122.46000000000001,460,473,273.0,2235,6.066666666666666,0.5168260869565218,0.25890063424947146,0.1221476510067114,0.2992914574042349
Qwen3-4B-Instruct-2507-4bit-DWQ-2510,two-shots,265.78,137.67,460,473,313.0,2365,6.955555555555556,0.5777826086956521,0.2910570824524313,0.13234672304439746,0.33372880473082694
Qwen3-4B-Instruct-2507-4bit-DWQ-2510,zero-shot,256.18,150.29,460,473,299.0,2310,6.644444444444445,0.5569130434782609,0.317737843551797,0.12943722943722943,0.3346960388224291
claude-3-7-sonnet-20250219,CoT,284.74,165.42,460,473,403.0,2365,8.955555555555556,0.619,0.34972515856236785,0.1704016913319239,0.3797089499647639
claude-3-7-sonnet-20250219,CoT-multi,277.77,175.02,460,473,431.0,2365,9.577777777777778,0.6038478260869565,0.37002114164904865,0.18224101479915433,0.3853699941783865
claude-3-7-sonnet-20250219,one-shot,283.46,190.44,460,473,587.0,2365,13.044444444444444,0.6162173913043478,0.40262156448202957,0.24820295983086682,0.42234730520574804
claude-3-7-sonnet-20250219,two-shots,302.62,201.13,460,473,634.0,2365,14.088888888888889,0.6578695652173913,0.42522198731501054,0.26807610993657505,0.45038922082299226
claude-3-7-sonnet-20250219,zero-shot,282.96,192.56,460,473,587.0,2365,13.044444444444444,0.6151304347826086,0.40710359408033825,0.24820295983086682,0.4234789962312712
claude-sonnet-4-5-20250929,CoT,281.43,191.29,460,473,472.0,2365,10.488888888888889,0.611804347826087,0.40441860465116275,0.19957716701902747,0.405266706498759
claude-sonnet-4-5-20250929,CoT-multi,279.39,177.58,460,473,450.0,2365,10.0,0.6073695652173913,0.37543340380549683,0.19027484143763213,0.3910259368201734
claude-sonnet-4-5-20250929,one-shot,281.95,173.14000000000001,460,473,529.0,2365,11.755555555555556,0.6129347826086956,0.366046511627907,0.22367864693446088,0.40088664705702115
claude-sonnet-4-5-20250929,two-shots,285.03000000000003,168.34,460,473,510.0,2365,11.333333333333334,0.6196304347826087,0.3558985200845666,0.2156448202959831,0.39705792505438614
claude-sonnet-4-5-20250929,zero-shot,276.26,179.14,460,473,504.0,2365,11.2,0.6005652173913043,0.3787315010570824,0.213107822410148,0.3974681802861782
codestral-2508,CoT,282.62,167.6,460,473,332.0,2365,7.377777777777778,0.6143913043478261,0.35433403805496827,0.14038054968287528,0.3697019640285566
codestral-2508,CoT-multi,251.6,144.64000000000001,460,473,377.0,2365,8.377777777777778,0.5469565217391305,0.3057928118393235,0.15940803382663848,0.33738578913503076
codestral-2508,one-shot,278.55,164.20000000000002,460,473,426.0,2365,9.466666666666667,0.6055434782608696,0.34714587737843555,0.18012684989429176,0.37760540184453234
codestral-2508,two-shots,290.48,178.27,460,473,424.0,2365,9.422222222222222,0.6314782608695653,0.37689217758985205,0.1792811839323467,0.39588387413058806
codestral-2508,zero-shot,274.91,176.09,460,473,415.0,2365,9.222222222222221,0.5976304347826088,0.3722832980972516,0.17547568710359407,0.38179647332781813
deepseek-chat,CoT,292.97,190.43,460,473,398.0,2365,8.844444444444445,0.6368913043478261,0.402600422832981,0.16828752642706132,0.40259308453595616
deepseek-chat,CoT-multi,262.77,159.37,460,473,433.0,2365,9.622222222222222,0.5712391304347826,0.33693446088794926,0.18308668076109938,0.3637534240279437
deepseek-chat,one-shot,280.03,185.63,460,473,514.0,2365,11.422222222222222,0.6087608695652174,0.3924524312896406,0.21733615221987315,0.4061831510249103
deepseek-chat,two-shots,285.88,199.8,460,473,561.0,2365,12.466666666666667,0.6214782608695653,0.42241014799154336,0.2372093023255814,0.42703257039556336
deepseek-chat,zero-shot,280.7,195.60999999999999,460,473,549.0,2365,12.2,0.6102173913043478,0.4135517970401691,0.2321353065539112,0.4186348316328094
gemini-2.5-flash,CoT,253.91,157.59,460,473,264.0,2045,5.866666666666666,0.5519782608695653,0.33317124735729386,0.12909535452322737,0.33808162091669547
gemini-2.5-flash,CoT-multi,277.64,173.38,460,473,438.0,2325,9.733333333333333,0.6035652173913043,0.36655391120507397,0.18838709677419355,0.3861687417901906
gemini-2.5-flash,one-shot,265.05,176.04,460,473,560.0,2260,12.444444444444445,0.5761956521739131,0.37217758985200844,0.24778761061946902,0.3987202842151302
gemini-2.5-flash,two-shots,287.07,195.31,460,473,601.0,2365,13.355555555555556,0.6240652173913044,0.41291754756871035,0.254122621564482,0.43036846217483227
gemini-2.5-flash,zero-shot,262.21,165.7,460,473,490.0,2205,10.88888888888889,0.5700217391304347,0.35031712473572935,0.2222222222222222,0.38085369536279545
gemma-3-4b-it-5bit,CoT,229.21,103.16,460,473,192.0,2245,4.266666666666667,0.4982826086956522,0.21809725158562368,0.08552338530066815,0.267301081860648
gemma-3-4b-it-5bit,CoT-multi,182.81,88.32,460,473,114.0,1730,2.533333333333333,0.3974130434782609,0.18672304439746298,0.06589595375722543,0.2166773472109831
gemma-3-4b-it-5bit,one-shot,253.83,99.29,460,473,183.0,2365,4.066666666666666,0.551804347826087,0.2099154334038055,0.0773784355179704,0.27969940558262096
gemma-3-4b-it-5bit,two-shots,236.93,108.27,460,473,223.0,2295,4.955555555555556,0.5150652173913044,0.22890063424947146,0.09716775599128541,0.2803778692106871
gemma-3-4b-it-5bit,zero-shot,243.58,104.89,460,473,197.0,2265,4.377777777777778,0.5295217391304348,0.22175475687103594,0.0869757174392936,0.27941740448025476
gpt-3.5-turbo,CoT,250.6,117.58,460,473,211.0,2230,4.688888888888889,0.5447826086956522,0.24858350951374206,0.09461883408071749,0.29599498409670394
gpt-3.5-turbo,CoT-multi,204.87,110.29,460,473,224.0,2060,4.977777777777778,0.4453695652173913,0.2331712473572939,0.1087378640776699,0.26242622555078504
gpt-3.5-turbo,one-shot,260.34000000000003,130.57,460,473,299.0,2365,6.644444444444445,0.5659565217391305,0.27604651162790694,0.12642706131078224,0.32281003155927324
gpt-3.5-turbo,two-shots,256.24,140.88,460,473,328.0,2365,7.288888888888889,0.5570434782608696,0.29784355179704014,0.1386892177589852,0.33119208260563165
gpt-3.5-turbo,zero-shot,250.37,134.8,460,473,311.0,2330,6.911111111111111,0.5442826086956521,0.2849894291754757,0.1334763948497854,0.3209161442403044
gpt-4-turbo,CoT,266.93,149.71,460,473,273.0,2315,6.066666666666666,0.5802826086956522,0.31651162790697673,0.11792656587473002,0.33824026749245295
gpt-4-turbo,CoT-multi,249.57,150.33,460,473,353.0,2365,7.844444444444444,0.5425434782608696,0.31782241014799156,0.1492600422832981,0.33654197689738646
gpt-4-turbo,one-shot,275.15,166.55,460,473,403.0,2365,8.955555555555556,0.5981521739130434,0.3521141649048626,0.1704016913319239,0.3735560100499433
