prefix,base_model_name,weighted_f1_class,weighted_f1_rel,weighted_score_relative,weighted_precision_attr_naive,weighted_recall_attr_naive,weighted_f1_attr_naive,weighted_precision_attr_syn,weighted_recall_attr_syn,weighted_f1_attr_syn,weighted_precision_attr_llm,weighted_recall_attr_llm,weighted_f1_attr_llm,weighted_f1_inh,f1_aggregated
CoT,claude-sonnet-4-6,0.6435,0.4112,0.3006,0.2989,0.2752,0.2833,0.3653,0.3347,0.3451,0.4075,0.3706,0.3832,0.3761,0.4229
one-shot,gemini-2.5-flash,0.6327,0.3807,0.3372,0.2751,0.2867,0.2756,0.3444,0.3591,0.3457,0.3435,0.3352,0.3264,0.3885,0.4131
two-shots,gpt-5-mini,0.6325,0.3727,0.3412,0.3055,0.3374,0.3146,0.3675,0.4084,0.3797,0.3643,0.3924,0.3678,0.3329,0.4094
one-shot,gpt-5-mini,0.6264,0.3752,0.3357,0.2652,0.3023,0.2764,0.3503,0.4062,0.3679,0.3105,0.3554,0.3237,0.3623,0.4047
two-shots,deepseek-chat,0.6451,0.3957,0.3205,0.2957,0.3061,0.2973,0.357,0.3688,0.3586,0.3352,0.3298,0.3244,0.3325,0.4036
two-shots,gpt-5.2,0.6245,0.3587,0.323,0.2638,0.3266,0.2815,0.3056,0.3837,0.3272,0.3057,0.375,0.3258,0.3683,0.4001
two-shots,gemini-2.5-flash,0.624,0.37,0.3245,0.2866,0.2939,0.285,0.3543,0.365,0.3533,0.3628,0.3695,0.3572,0.3237,0.3999
two-shots,claude-sonnet-4-6,0.6419,0.3825,0.315,0.303,0.33,0.3109,0.3638,0.3908,0.3705,0.3594,0.3891,0.3664,0.2752,0.3962
zero-shot,deepseek-chat,0.6236,0.3692,0.2854,0.2468,0.2528,0.2432,0.3376,0.3448,0.3325,0.3674,0.36,0.3522,0.3157,0.3892
CoT-multi,deepseek-chat,0.6153,0.3485,0.2829,0.2708,0.2356,0.2451,0.346,0.3073,0.3163,0.3963,0.3438,0.3566,0.3419,0.389
one-shot,claude-sonnet-4-6,0.6168,0.3755,0.3027,0.289,0.3122,0.2947,0.3458,0.3736,0.3522,0.345,0.3853,0.3548,0.294,0.3888
zero-shot,gemini-2.5-flash,0.5966,0.3448,0.2973,0.263,0.2766,0.2628,0.3315,0.3511,0.3337,0.3591,0.3615,0.3485,0.3467,0.3868
zero-shot,gpt-5.2,0.6135,0.3657,0.3369,0.2278,0.2605,0.2357,0.2952,0.3411,0.3069,0.2699,0.3057,0.2763,0.3319,0.3848
CoT,gpt-5-mini,0.6067,0.3225,0.2879,0.2515,0.2657,0.2541,0.3153,0.3408,0.3227,0.3511,0.3801,0.359,0.3376,0.3828
CoT,gpt-5.2,0.6004,0.3399,0.3009,0.2492,0.2252,0.2329,0.3253,0.2901,0.3009,0.3506,0.3017,0.3174,0.3552,0.3828
zero-shot,gpt-5-mini,0.595,0.3484,0.3268,0.2357,0.2813,0.2485,0.3178,0.3847,0.3368,0.2751,0.3329,0.2922,0.3454,0.3816
one-shot,gpt-5.2,0.6017,0.353,0.3243,0.2344,0.2847,0.2485,0.3093,0.3685,0.3263,0.2871,0.3465,0.3043,0.3216,0.381
