sub_folder_name,model_name,precision_class,recall_class,f1_class,n_classes,precision_rel,recall_rel,f1_rel,score_rel,max_score,n_rel,exception_occurred
CelO,cot-mlx-community-Falcon3-10B-Instruct-6bit,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,14,True
CelO,cot2-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,14,True
CelO,gpt-4o,0.5,0.4,0.44,10,0.44,0.29,0.35,9,70,14,False
CelO,cot-gpt-3.5-turbo,0.83,0.5,0.62,10,0.4,0.14,0.21,6,70,14,False
CelO,cot2-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,14,True
CelO,few-mlx-community-phi-4-8bit,0.83,0.5,0.62,10,0.67,0.29,0.4,9,70,14,False
CelO,gpt-4-turbo,1.0,0.5,0.67,10,0.67,0.29,0.4,9,70,14,False
CelO,few-mlx-community-gemma-3-4b-it-5bit,0.8,0.4,0.53,10,0.2,0.07,0.11,4,70,14,False
CelO,few-gpt-4o,0.5,0.5,0.5,10,0.36,0.29,0.32,9,70,14,False
CelO,few2-codestral-2508,0.86,0.6,0.71,10,0.33,0.21,0.26,9,70,14,False
CelO,cot-claude-sonnet-4-5-20250929,0.71,0.5,0.59,10,0.57,0.29,0.38,10,70,14,False
CelO,few2-gpt-5-mini,0.62,0.5,0.56,10,0.3,0.21,0.25,9,70,14,False
CelO,few-codestral-2508,0.71,0.5,0.59,10,0.38,0.21,0.27,9,70,14,False
CelO,few-mistral-large-2411,0.71,0.5,0.59,10,0.4,0.29,0.33,11,70,14,False
CelO,few-gpt-5-mini,0.56,0.5,0.53,10,0.27,0.21,0.24,5,70,14,False
CelO,cot-gpt-4-turbo,1.0,0.5,0.67,10,0.57,0.29,0.38,11,70,14,False
CelO,mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.8,0.4,0.53,10,0.43,0.21,0.29,4,70,14,False
CelO,few2-claude-sonnet-4-5-20250929,0.62,0.5,0.56,10,0.33,0.21,0.26,12,70,14,False
CelO,few-gpt-5-nano,0.5,0.4,0.44,10,0.25,0.14,0.18,7,70,14,False
CelO,cot-mistral-small-2506,0.62,0.5,0.56,10,0.33,0.29,0.31,9,70,14,False
