model,group,zero_shot_s,zero_shot_usd,zero_shot_interpolated,one_shot_s,one_shot_usd,one_shot_interpolated,few_shot_s,few_shot_usd,few_shot_interpolated,cot_s,cot_usd,cot_interpolated,cot_domain_s,cot_domain_usd,cot_domain_interpolated
deepseek-chat,Cloud,8.76,0.00017,False,5.92,0.00026,False,8.07,0.00037,False,23.37,0.00057,False,24.06,0.00068,False
gpt-4o-mini,Cloud,3.76,0.00021,False,4.02,0.00032,False,3.08,0.00042,False,9.29,0.00072,False,14.24,0.00093,False
mistral-small,Cloud,2.91,0.00028,False,2.79,0.00042,False,3.65,0.00056,False,8.26,0.00097,False,14.31,0.00118,False
codestral,Cloud,1.87,0.00042,False,1.55,0.0006,False,1.97,0.00081,False,5.33,0.00154,False,6.17,0.00192,False
gpt-3.5-turbo,Cloud,3.38,0.00064,False,3.46,0.00098,False,2.64,0.00135,False,6.48,0.00211,False,8.89,0.00251,False
gemini-2.5-flash,Cloud,23.91,0.00116,False,24.42,0.0012,False,25.53,0.00128,False,52.8,0.00248,False,64.05,0.00328,False
gpt-5.2,Cloud,4.57,0.00286,False,4.33,0.00348,False,4.14,0.00408,False,9.93,0.007,False,12.11,0.00828,False
mistral-large,Cloud,7.34,0.00317,False,6.63,0.00474,False,5.76,0.00631,False,17.25,0.0108,False,19.41,0.01248,False
gpt-5-nano,Cloud,90.59,0.00412,False,77.31,0.00358,False,81.48,0.00358,False,160.09,0.00852,False,191.67,0.01147,False
o3-mini,Cloud,12.35,0.00622,False,11.95,0.00706,False,10.86,0.0078,False,21.19,0.01729,False,28.93,0.01906,False
claude-sonnet-4-6,Cloud,4.98,0.00699,False,4.8,0.00928,False,4.62,0.01159,False,10.82,0.01977,False,14.15,0.02459,False
gpt-5-mini,Cloud,80.95,0.01194,False,75.93,0.01257,False,80.72,0.01201,False,115.24,0.01734,False,149.19,0.02601,False
gemma-3,Local,4.13,0.00012,False,4.45,0.00013,False,4.36,0.00013,False,21.59,0.00065,False,19.09,0.00058,False
Qwen2.5-3B,Local,19.47,0.00059,False,2.9,9e-05,False,2.92,9e-05,False,,,,21.08,0.00064,False
Mistral-7B,Local,6.06,0.00018,True,6.76,0.0002,True,6.16,0.00019,True,16.3,0.00049,False,11.67,0.00035,False
Falcon-H1-Instruct,Local,6.91,0.00021,True,6.24,0.00019,True,5.78,0.00017,True,,,,,,
phi-4,Local,24.27,0.00073,True,9.23,0.00011,False,9.01,0.00015,False,32.3,0.00031,False,,,
Phi-4-mini,Local,21.63,0.00065,False,28.34,0.00086,False,40.43,0.00122,False,195.21,0.0059,False,198.37,0.006,False
DeepSeek-R1,Local,38.2,0.00115,False,39.36,0.00119,False,26.29,0.00079,False,,,,,,
Llama-3.2,Local,42.05,0.00127,False,69.75,0.00211,False,50.83,0.00154,False,102.84,0.00311,False,154.59,0.00467,False
Qwen3.5-4B,Local,61.7,0.00186,True,55.74,0.00168,True,51.59,0.00156,True,,,,,,
