sub_folder_name,complexity_z,z_index
BankAccount,-1.4965016492661942,0.0
AirTravel,-1.0075769008788282,0.1945352958388168
Cruise,-0.9231053177499007,0.22814518052589708
FilmSet,-0.8494033391608631,0.25747001273374664
TruckLogistics,-0.79539481230046,0.2789591371547568
University,-0.7621193599228042,0.29219890461142295
DestroyBlockGame,-0.6514854451618275,0.33621836038415753
Ebike,-0.6367930467689821,0.34206422946188614
HospitalHouseMD,-0.5624977809093251,0.37162512113509927
GameArea,-0.5366670007408058,0.38190277322451477
CardGameApp,-0.48226595855883214,0.40354807318062486
Sightseeing,-0.4424880918992491,0.4193750467261083
School,-0.41678494931920695,0.42960191387138574
House,-0.31055007430464526,0.47187106246229293
TransportCompany,-0.2970213428443593,0.4772539271784506
BuildingManagement,-0.2360329311519982,0.5015202355427658
Kinepolis,-0.21807988708171336,0.5086634631068021
TreatmentPlans,-0.1246860442343071,0.5458233714725976
GasStation_KUL,-0.09493350291901756,0.557661429263325
TileOGame,-0.0798512596584262,0.5636624113455155
Facepage,-0.05164965497377562,0.5748833763888135
Menso,-0.03572493772205683,0.5812195653257217
LabTracker,0.020686672406022517,0.6036648379391575
GasStation_TUW,0.028269516964627137,0.6066819298625533
FitnessCompanyConan,0.052992061377603525,0.616518632764441
OnlineTutoringSystem,0.08794010605081867,0.6304238978014761
Louvre,0.1811289372676089,0.6675022353358833
BusTransportationManagementSystem,0.18478975588801116,0.6689588162017142
ClothingCompany,0.1968683923847618,0.6737647114483243
eHome2020,0.25508634190232315,0.6969286974602477
SellingGoods,0.2602403035906769,0.6989793759441919
SmartHomeAutomationSystem,0.39613405327173906,0.753049313872363
PizzaDeliveryWithEntertainment,0.48316673134665383,0.7876782170579592
CelO,0.5325415928041276,0.80732368052102
ProjectManagement,0.5781924370751194,0.8254874174249928
AlphaInsurance,0.6223650157801983,0.8430629762296942
HomeForTheElderly,0.6466063376047181,0.8527082084013342
HotelBookingManagementSystem,0.6575479096381093,0.8570616839811204
HelpingHands,0.7139044165781439,0.8794850319220511
Boeing,0.7152059625889433,0.8800028961518613
Musicmatic,0.7227318588698377,0.8829973292712421
TeamSportsScoutingSystem,0.8622514570173757,0.9385099340032906
EUScienceConnect,0.8828819963206193,0.9467184938683991
StudentAppointment,0.9132872471467383,0.9588162542784044
Sober,1.016794183652821,1.0
