sub_folder_name,n_tokens,n_sentences,mdd,subordination_index,parse_tree_depth,parse_tree_depth_max,flesch_reading_ease,rst_depth_proxy,context_dependence_proxy,inferential_load_proxy,error
AirTravel,292,20,2.5358490566037735,0.2,4.15,6.0,69.62606578947371,0.15,0.5,0.55,
AlphaInsurance,391,15,3.400537634408602,0.5833333333333334,5.733333333333333,8.0,44.260995024875655,0.4666666666666667,0.45098039215686275,1.2,
BankAccount,121,10,2.5,0.09090909090909091,4.0,6.0,71.58801376146789,0.1,0.3333333333333333,0.1,
Boeing,250,11,2.7974683544303796,0.5,6.0,11.0,43.18957094307564,0.45454545454545453,0.6428571428571429,1.1818181818181819,
BuildingManagement,380,20,3.1820728291316525,0.2857142857142857,4.75,9.0,50.17533333333333,0.2,0.41379310344827586,0.7,
BusTransportationManagementSystem,390,17,3.0377358490566038,0.43333333333333335,5.235294117647059,9.0,66.39787476280837,1.0588235294117647,0.3793103448275862,0.7058823529411765,
CardGameApp,198,12,2.622950819672131,0.3333333333333333,5.083333333333333,8.0,73.90017998027616,0.3333333333333333,0.42105263157894735,1.0833333333333333,
CelO,547,23,3.1522157996146434,0.5,5.086956521739131,12.0,53.177053847553225,0.6956521739130435,0.19696969696969696,2.0434782608695654,
ClothingCompany,256,13,2.669421487603306,0.4583333333333333,5.846153846153846,13.0,47.39129498941429,0.38461538461538464,0.3333333333333333,0.8461538461538461,
Cruise,256,16,2.5659574468085107,0.2727272727272727,3.8125,6.0,74.91124010180997,0.5,0.36363636363636365,0.8125,
DestroyBlockGame,742,39,2.7936507936507935,0.36065573770491804,4.512820512820513,11.0,76.95298534798538,0.358974358974359,0.23300970873786409,0.717948717948718,
EUScienceConnect,372,19,2.825214899713467,0.4411764705882353,5.473684210526316,15.0,38.64295507877978,0.9473684210526315,0.5,0.8947368421052632,
Ebike,156,10,2.9130434782608696,0.3333333333333333,4.5,6.0,63.25545161290327,0.4,0.3333333333333333,0.6,
Facepage,426,23,2.825,0.46511627906976744,4.608695652173913,10.0,58.31863630858669,0.30434782608695654,0.4878048780487805,1.0,
FilmSet,287,18,2.4082397003745317,0.21739130434782608,4.888888888888889,8.0,66.6328136200717,0.3888888888888889,0.2857142857142857,0.6666666666666666,
FitnessCompanyConan,334,18,2.9968051118210863,0.3333333333333333,4.944444444444445,10.0,55.66830016583751,0.5,0.5,0.8333333333333334,
GameArea,194,12,3.0166666666666666,0.25,5.0,11.0,63.10150529865129,0.0,0.4,0.4166666666666667,
GasStation_KUL,537,25,2.9820717131474104,0.5535714285714286,4.76,8.0,61.35720422832982,0.36,0.3384615384615385,1.2,
GasStation_TUW,197,11,2.983695652173913,0.47619047619047616,4.454545454545454,8.0,68.49083509513744,0.9090909090909091,0.47619047619047616,0.7272727272727273,
HelpingHands,497,20,3.0739957716701904,0.5348837209302325,6.35,14.0,45.88951618705039,0.65,0.41509433962264153,0.5,
HomeForTheElderly,775,33,3.0220689655172412,0.5657894736842105,5.2727272727272725,16.0,59.473193084103556,0.6363636363636364,0.3048780487804878,1.5151515151515151,
HospitalHouseMD,410,20,2.9198966408268734,0.5833333333333334,4.7,7.0,57.09650000000002,0.1,0.17142857142857143,0.7,
HotelBookingManagementSystem,532,20,3.8503937007874014,0.5454545454545454,5.2,9.0,39.21505248307,0.65,0.27906976744186046,1.05,
House,181,10,2.7719298245614037,0.5,4.5,6.0,67.1106582278481,0.2,0.7142857142857143,0.5,
Kinepolis,377,20,2.874269005847953,0.42857142857142855,4.7,9.0,63.492000000000004,0.4,0.37142857142857144,1.05,
LabTracker,651,31,2.973941368078176,0.42592592592592593,5.096774193548387,11.0,61.96822580645161,0.45161290322580644,0.3508771929824561,1.096774193548387,
Louvre,312,15,3.2081911262798637,0.4444444444444444,4.666666666666667,6.0,41.447536555142506,0.6,0.42105263157894735,1.0666666666666667,
Menso,596,26,2.82940108892922,0.5094339622641509,5.5,9.0,58.40511801578705,0.3076923076923077,0.3050847457627119,1.2692307692307692,
Musicmatic,386,16,3.4087193460490464,0.6,5.4375,8.0,46.953197115384626,0.625,0.3,2.0625,
OnlineTutoringSystem,347,14,3.316109422492401,0.4166666666666667,5.357142857142857,10.0,51.406184210526334,0.6428571428571429,0.15789473684210525,0.8571428571428571,
PizzaDeliveryWithEntertainment,703,30,3.43993993993994,0.5945945945945946,4.666666666666667,9.0,53.65253212851408,0.6,0.3902439024390244,1.4,
ProjectManagement,194,10,2.9835164835164836,0.6,5.8,13.0,48.0401886227545,0.3,0.6,0.5,
School,196,13,2.598901098901099,0.35,4.6923076923076925,10.0,74.24166282818979,0.6153846153846154,0.4166666666666667,0.6153846153846154,
SellingGoods,645,28,3.1014975041597337,0.6989247311827957,5.642857142857143,10.0,58.53618738819324,0.2857142857142857,0.24096385542168675,1.3571428571428572,
Sightseeing,107,6,3.217821782178218,0.3333333333333333,3.6666666666666665,6.0,65.1999561403509,0.5,0.4,1.0,
SmartHomeAutomationSystem,348,16,3.168195718654434,0.4482758620689655,4.875,9.0,33.84562500000001,0.3125,0.3076923076923077,1.9375,
Sober,517,18,3.2955465587044532,0.5813953488372093,6.666666666666667,11.0,57.26360457516343,0.6666666666666666,0.375,2.111111111111111,
StudentAppointment,121,5,2.956896551724138,0.6153846153846154,7.0,12.0,48.83964150943399,0.6,0.5,1.0,
TeamSportsScoutingSystem,269,8,3.7104247104247103,0.6,7.375,11.0,45.90778846153847,0.625,0.3,0.375,
TileOGame,449,18,3.4649532710280373,0.45454545454545453,4.666666666666667,8.0,69.39425544100803,0.5555555555555556,0.2982456140350877,1.0555555555555556,
TransportCompany,394,21,2.9056603773584904,0.5333333333333333,4.857142857142857,8.0,57.56045675413026,0.2857142857142857,0.2653061224489796,0.8571428571428571,
TreatmentPlans,260,13,2.7224489795918365,0.5,5.153846153846154,9.0,36.13716654904732,0.3076923076923077,0.17647058823529413,0.9230769230769231,
TruckLogistics,146,11,2.5037037037037035,0.26666666666666666,3.909090909090909,7.0,62.17565340909093,0.5454545454545454,0.42857142857142855,0.2727272727272727,
University,171,13,2.409090909090909,0.1875,4.846153846153846,12.0,66.82615384615386,0.07692307692307693,0.4444444444444444,0.38461538461538464,
eHome2020,488,26,3.286031042128603,0.35,5.153846153846154,11.0,45.774301363193786,0.34615384615384615,0.3181818181818182,1.4230769230769231,
