metric,target,pearson_r,pearson_p,spearman_r,spearman_p
mdd,mean_f1_class,-0.16558567267392035,0.2770145377287579,-0.18340525060181848,0.22783289361443707
subordination_index,mean_f1_class,-0.13191208702253615,0.3877111818586077,-0.07022057572394204,0.64669027132688
parse_tree_depth,mean_f1_class,-0.25782605757655025,0.08728011513270419,-0.32044017494841764,0.03187022831557429
parse_tree_depth_max,mean_f1_class,-0.23050685292087342,0.127665829525119,-0.28484480286986774,0.05789083200525134
flesch_reading_ease,mean_f1_class,0.18624351917632373,0.22059251560954335,0.21344576578659907,0.15918160182035337
rst_depth_proxy,mean_f1_class,-0.06005493371461911,0.6951482015542307,-0.08789217914116611,0.5658864740342122
context_dependence_proxy,mean_f1_class,0.28423387979755615,0.058453778023030666,0.29632197119690595,0.0480992342368836
inferential_load_proxy,mean_f1_class,-0.10730335433162828,0.4829368881402696,-0.16891291846792214,0.26733961808813056
mdd,mean_f1_rel,-0.09695597057202626,0.5263461393487483,-0.07003096398358503,0.6475817787464655
subordination_index,mean_f1_rel,-0.18583866102138308,0.22161545036569572,-0.09742189519364115,0.5243510143731661
parse_tree_depth,mean_f1_rel,-0.37631451422719675,0.01084121739165285,-0.35679220279213775,0.016134551358285964
parse_tree_depth_max,mean_f1_rel,-0.2911147091394759,0.052360907409641395,-0.2761687957013094,0.06630452469482796
flesch_reading_ease,mean_f1_rel,0.19166677366450804,0.20720402463279247,0.1571249756357952,0.30264118268257456
rst_depth_proxy,mean_f1_rel,-0.05447755454982392,0.7222697658426779,-0.11264543102850842,0.4612840198365028
context_dependence_proxy,mean_f1_rel,0.19702115238817647,0.19455399338283544,0.29484859079317133,0.049275498836195544
inferential_load_proxy,mean_f1_rel,-0.1519158600448074,0.3191516666555127,-0.13224148875929265,0.3865166498635948
