sub_folder_name,actual_z,zero_reached,zero_iterations,zero_shape_ok
AirTravel,0.1945,False,5.0,False
AlphaInsurance,0.8431,True,1.0,True
BankAccount,0.0,False,5.0,False
Boeing,0.88,False,5.0,False
BuildingManagement,0.5015,False,5.0,False
BusTransportationManagementSystem,0.669,False,5.0,False
CardGameApp,0.4035,True,1.0,True
CelO,0.8073,False,5.0,False
ClothingCompany,0.6738,False,5.0,False
Cruise,0.2281,False,5.0,False
DestroyBlockGame,0.3362,False,5.0,False
EUScienceConnect,0.9467,False,5.0,False
Ebike,0.3421,False,5.0,False
Facepage,0.5749,False,5.0,False
FilmSet,0.2575,True,2.0,True
FitnessCompanyConan,0.6165,False,5.0,False
GameArea,0.3819,False,5.0,False
GasStation_KUL,0.5577,True,1.0,True
GasStation_TUW,0.6067,False,5.0,False
HelpingHands,0.8795,False,5.0,False
HomeForTheElderly,0.8527,False,5.0,False
HospitalHouseMD,0.3716,True,1.0,True
HotelBookingManagementSystem,0.8571,False,5.0,False
House,0.4719,False,5.0,False
Kinepolis,0.5087,False,5.0,False
LabTracker,0.6037,False,5.0,False
Louvre,0.6675,False,5.0,False
Menso,0.5812,False,5.0,False
Musicmatic,0.883,False,5.0,False
OnlineTutoringSystem,0.6304,True,3.0,True
PizzaDeliveryWithEntertainment,0.7877,False,5.0,False
ProjectManagement,0.8255,False,5.0,False
School,0.4296,False,5.0,False
SellingGoods,0.699,False,5.0,False
Sightseeing,0.4194,False,5.0,False
SmartHomeAutomationSystem,0.753,False,5.0,False
Sober,1.0,False,5.0,False
StudentAppointment,0.9588,True,1.0,True
TeamSportsScoutingSystem,0.9385,False,5.0,False
TileOGame,0.5637,True,1.0,True
TransportCompany,0.4773,True,3.0,True
TreatmentPlans,0.5458,False,5.0,False
TruckLogistics,0.279,False,5.0,False
University,0.2922,False,5.0,False
eHome2020,0.6969,True,1.0,True
