sub_folder_name,actual_z,zero_reached,zero_iterations,zero_shape_ok
BuildingManagement,0.5015,False,5,False
BusTransportationManagementSystem,0.669,False,5,False
CelO,0.8073,False,5,False
DestroyBlockGame,0.3362,False,5,False
FilmSet,0.2575,False,5,False
FitnessCompanyConan,0.6165,False,5,False
GasStation_KUL,0.5577,False,5,False
HelpingHands,0.8795,False,5,False
HomeForTheElderly,0.8527,False,5,False
HotelBookingManagementSystem,0.8571,True,1,True
Kinepolis,0.5087,False,5,False
LabTracker,0.6037,False,5,False
Menso,0.5812,True,1,True
Musicmatic,0.883,False,5,False
PizzaDeliveryWithEntertainment,0.7877,False,5,False
SellingGoods,0.699,False,5,False
Sober,1.0,False,5,False
TileOGame,0.5637,True,1,True
TransportCompany,0.4773,True,1,True
eHome2020,0.6969,False,5,False
