sub_folder_name,actual_z,level_one_target,level_two_target,level_one_z,level_one_reached,level_one_iters,level_two_z,level_two_reached,level_two_iters
AirTravel,0.2265,0.0,0.1132,0.0567,False,5,0.0591,False,5
AlphaInsurance,0.8666,0.0,0.4333,-0.062,False,5,0.4204,True,1
BankAccount,0.0103,0.0,0.0052,0.0103,True,0,0.0103,True,0
Boeing,0.8888,0.0,0.4444,0.1455,False,5,0.5298,False,5
BuildingManagement,0.5143,0.0,0.2571,-0.0403,True,1,0.1947,False,5
BusTransportationManagementSystem,0.6943,0.0,0.3471,0.0376,True,1,0.2113,False,5
CardGameApp,0.3991,0.0,0.1996,0.0577,False,5,0.0781,False,5
CelO,0.8105,0.0,0.4052,0.031,True,2,0.5103,False,5
ClothingCompany,0.6962,0.0,0.3481,0.0324,True,1,0.4893,False,5
Cruise,0.2434,0.0,0.1217,0.1542,False,5,0.1595,True,4
DestroyBlockGame,0.3391,0.0,0.1695,-0.0714,False,5,0.2796,False,5
EUScienceConnect,0.9563,0.0,0.4781,-0.0199,True,2,0.6912,False,5
Ebike,0.3633,0.0,0.1816,0.1392,False,5,0.1031,False,5
Facepage,0.5948,0.0,0.2974,0.0171,True,3,0.1898,False,5
FilmSet,0.2726,0.0,0.1363,0.1918,False,5,0.2726,False,5
FitnessCompanyConan,0.6193,0.0,0.3097,-0.0221,True,3,0.2764,True,1
GameArea,0.3667,0.0,0.1834,-0.0302,True,5,0.1191,False,5
GasStation_KUL,0.5585,0.0,0.2792,-0.0464,True,2,0.1616,False,5
GasStation_TUW,0.622,0.0,0.311,0.1129,False,5,0.1512,False,5
HelpingHands,0.8858,0.0,0.4429,0.0218,True,2,0.5052,False,5
HomeForTheElderly,0.8681,0.0,0.434,-0.0144,True,4,0.3875,True,1
HospitalHouseMD,0.3716,0.0,0.1858,-0.0424,True,1,0.1152,False,5
HotelBookingManagementSystem,0.8655,0.0,0.4328,0.0433,True,1,0.3843,True,1
House,0.5242,0.0,0.2621,0.0992,False,5,0.1763,False,5
Kinepolis,0.5214,0.0,0.2607,0.038,True,2,0.1776,False,5
LabTracker,0.6212,0.0,0.3106,-0.0229,True,2,0.2185,False,5
Louvre,0.6647,0.0,0.3324,0.0301,True,1,0.2601,False,5
Menso,0.5994,0.0,0.2997,0.0231,True,1,0.1117,False,5
Musicmatic,0.8946,0.0,0.4473,0.0374,True,2,0.4078,True,1
OnlineTutoringSystem,0.6278,0.0,0.3139,0.027,True,1,0.4182,False,5
PizzaDeliveryWithEntertainment,0.7974,0.0,0.3987,-0.0355,True,4,0.3855,True,1
ProjectManagement,0.848,0.0,0.424,0.0489,True,2,0.3746,True,1
School,0.4363,0.0,0.2182,0.1738,False,5,0.3326,False,5
SellingGoods,0.7272,0.0,0.3636,0.0373,True,4,0.1738,False,5
Sightseeing,0.4391,0.0,0.2196,0.082,False,5,0.2451,True,2
SmartHomeAutomationSystem,0.761,0.0,0.3805,0.1554,False,5,0.4519,False,5
Sober,1.0097,0.0,0.5049,-0.0531,False,5,0.398,False,5
StudentAppointment,0.9659,0.0,0.483,-0.009,True,4,0.4283,False,5
TeamSportsScoutingSystem,0.9176,0.0,0.4588,-0.0127,True,4,0.3991,False,5
TileOGame,0.5782,0.0,0.2891,0.0231,True,1,0.0953,False,5
TransportCompany,0.4827,0.0,0.2414,0.016,True,2,0.1404,False,5
TreatmentPlans,0.5665,0.0,0.2833,0.0707,False,5,0.2846,True,1
TruckLogistics,0.3054,0.0,0.1527,-0.0261,True,1,0.3054,False,5
University,0.2975,0.0,0.1488,-0.1207,False,5,0.2118,False,5
eHome2020,0.7112,0.0,0.3556,0.0397,True,2,0.2426,False,5
